event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2005-01-01 00:01:00,2005-01-01 00:31:00,2005-01-01 00:39:00,X1.7,10715
2005-01-01 09:27:00,2005-01-01 09:39:00,2005-01-01 09:45:00,B7.8,10715
2005-01-01 14:08:00,2005-01-01 14:24:00,2005-01-01 14:32:00,C1.2,10715
2005-01-01 15:38:00,2005-01-01 15:44:00,2005-01-01 15:53:00,B6.2,10715
2005-01-01 19:18:00,2005-01-01 19:22:00,2005-01-01 19:27:00,B2.5,0
2005-01-01 23:58:00,2005-01-02 00:02:00,2005-01-02 00:05:00,B3.2,10717
2005-01-02 01:01:00,2005-01-02 01:06:00,2005-01-02 01:13:00,B4.0,10715
2005-01-02 02:41:00,2005-01-02 02:52:00,2005-01-02 03:06:00,B6.5,10715
2005-01-02 04:21:00,2005-01-02 05:05:00,2005-01-02 05:29:00,C2.3,0
2005-01-02 12:56:00,2005-01-02 13:06:00,2005-01-02 13:11:00,C1.2,10715
2005-01-02 16:01:00,2005-01-02 16:08:00,2005-01-02 16:16:00,B5.2,10717
2005-01-03 01:50:00,2005-01-03 02:02:00,2005-01-03 02:18:00,B7.5,10717
2005-01-03 04:02:00,2005-01-03 04:22:00,2005-01-03 04:48:00,C3.8,10715
2005-01-03 09:31:00,2005-01-03 09:39:00,2005-01-03 09:41:00,C1.1,10717
2005-01-03 10:58:00,2005-01-03 11:09:00,2005-01-03 11:18:00,C1.1,10717
2005-01-04 00:38:00,2005-01-04 00:54:00,2005-01-04 01:15:00,B8.5,0
2005-01-04 01:44:00,2005-01-04 01:58:00,2005-01-04 02:05:00,C1.0,10715
2005-01-04 05:59:00,2005-01-04 06:16:00,2005-01-04 06:30:00,C3.3,10715
2005-01-04 10:53:00,2005-01-04 11:13:00,2005-01-04 11:29:00,C7.3,10715
2005-01-05 04:03:00,2005-01-05 05:22:00,2005-01-05 05:44:00,B8.2,10715
2005-01-06 22:33:00,2005-01-06 22:43:00,2005-01-06 22:56:00,B1.9,0
2005-01-07 07:43:00,2005-01-07 07:49:00,2005-01-07 08:00:00,B1.2,0
2005-01-07 11:09:00,2005-01-07 11:15:00,2005-01-07 11:20:00,B1.9,0
2005-01-07 12:11:00,2005-01-07 12:16:00,2005-01-07 12:22:00,B1.9,0
2005-01-07 15:53:00,2005-01-07 15:58:00,2005-01-07 16:02:00,B2.0,0
2005-01-07 16:10:00,2005-01-07 16:15:00,2005-01-07 16:19:00,B2.4,0
2005-01-07 16:47:00,2005-01-07 16:55:00,2005-01-07 17:12:00,B2.9,10719
2005-01-07 18:37:00,2005-01-07 18:46:00,2005-01-07 18:53:00,B6.8,10719
2005-01-07 20:35:00,2005-01-07 20:41:00,2005-01-07 20:48:00,B2.3,10719
2005-01-08 02:19:00,2005-01-08 02:25:00,2005-01-08 02:31:00,B2.7,10719
2005-01-08 06:22:00,2005-01-08 06:25:00,2005-01-08 06:30:00,B3.4,10719
2005-01-08 07:06:00,2005-01-08 07:11:00,2005-01-08 07:16:00,B4.4,10719
2005-01-08 08:44:00,2005-01-08 08:50:00,2005-01-08 09:08:00,B3.1,10719
2005-01-08 10:49:00,2005-01-08 10:52:00,2005-01-08 10:54:00,B1.3,0
2005-01-08 11:22:00,2005-01-08 11:29:00,2005-01-08 11:50:00,B1.3,0
2005-01-08 13:29:00,2005-01-08 13:40:00,2005-01-08 13:51:00,B3.5,10719
2005-01-08 19:36:00,2005-01-08 19:57:00,2005-01-08 20:15:00,C1.0,10719
2005-01-09 05:25:00,2005-01-09 05:46:00,2005-01-09 05:49:00,B4.6,10718
2005-01-09 08:25:00,2005-01-09 08:51:00,2005-01-09 09:09:00,M2.4,10719
2005-01-09 14:33:00,2005-01-09 14:47:00,2005-01-09 14:56:00,C2.6,10719
2005-01-10 05:11:00,2005-01-10 05:19:00,2005-01-10 05:24:00,B2.5,0
2005-01-10 07:09:00,2005-01-10 07:12:00,2005-01-10 07:14:00,B1.2,0
2005-01-10 10:03:00,2005-01-10 10:11:00,2005-01-10 10:20:00,B3.3,10719
2005-01-10 19:57:00,2005-01-10 20:11:00,2005-01-10 20:28:00,B1.7,0
2005-01-10 21:45:00,2005-01-10 22:15:00,2005-01-10 22:27:00,C1.0,10719
2005-01-11 06:52:00,2005-01-11 07:22:00,2005-01-11 07:34:00,B8.4,10718
2005-01-11 11:34:00,2005-01-11 11:37:00,2005-01-11 11:42:00,B1.1,0
2005-01-11 12:29:00,2005-01-11 12:32:00,2005-01-11 12:34:00,B1.7,0
2005-01-11 13:15:00,2005-01-11 13:18:00,2005-01-11 13:21:00,B1.7,0
2005-01-11 14:29:00,2005-01-11 14:35:00,2005-01-11 14:38:00,B1.8,0
2005-01-11 15:15:00,2005-01-11 15:20:00,2005-01-11 15:26:00,B2.7,10718
2005-01-11 16:04:00,2005-01-11 16:16:00,2005-01-11 16:19:00,C1.4,10718
2005-01-11 17:54:00,2005-01-11 17:57:00,2005-01-11 18:01:00,B9.2,10718
2005-01-11 18:50:00,2005-01-11 18:53:00,2005-01-11 18:56:00,B1.7,0
2005-01-11 20:35:00,2005-01-11 20:41:00,2005-01-11 20:46:00,B5.7,10720
2005-01-11 21:00:00,2005-01-11 21:04:00,2005-01-11 21:07:00,B3.6,10718
2005-01-11 23:25:00,2005-01-11 23:29:00,2005-01-11 23:31:00,C1.1,10718
2005-01-12 00:13:00,2005-01-12 00:18:00,2005-01-12 00:24:00,B2.2,10720
2005-01-12 01:22:00,2005-01-12 01:25:00,2005-01-12 01:30:00,B1.9,10720
2005-01-12 07:01:00,2005-01-12 07:08:00,2005-01-12 07:17:00,B7.0,10720
2005-01-12 08:05:00,2005-01-12 08:28:00,2005-01-12 08:40:00,B5.9,10718
2005-01-12 08:53:00,2005-01-12 08:58:00,2005-01-12 09:01:00,B6.2,10720
2005-01-12 09:55:00,2005-01-12 09:59:00,2005-01-12 10:03:00,B4.1,10720
2005-01-12 11:33:00,2005-01-12 11:42:00,2005-01-12 11:49:00,B5.0,0
2005-01-12 13:59:00,2005-01-12 14:06:00,2005-01-12 14:10:00,B4.1,10720
2005-01-12 16:08:00,2005-01-12 16:11:00,2005-01-12 16:13:00,B2.8,10720
2005-01-12 17:18:00,2005-01-12 17:22:00,2005-01-12 17:24:00,B4.1,10720
2005-01-12 20:08:00,2005-01-12 20:11:00,2005-01-12 20:13:00,B4.6,10720
2005-01-13 00:52:00,2005-01-13 01:02:00,2005-01-13 01:14:00,C1.0,10718
2005-01-13 01:31:00,2005-01-13 01:34:00,2005-01-13 01:39:00,B4.6,10720
2005-01-13 04:12:00,2005-01-13 04:16:00,2005-01-13 04:18:00,B2.4,0
2005-01-13 05:48:00,2005-01-13 05:56:00,2005-01-13 06:03:00,B6.5,10718
2005-01-13 08:08:00,2005-01-13 08:19:00,2005-01-13 08:29:00,C1.0,10718
2005-01-13 11:19:00,2005-01-13 11:26:00,2005-01-13 11:29:00,C1.6,10718
2005-01-13 12:25:00,2005-01-13 12:30:00,2005-01-13 12:35:00,B5.4,10718
2005-01-13 13:04:00,2005-01-13 13:09:00,2005-01-13 13:14:00,B7.4,10718
2005-01-13 14:03:00,2005-01-13 14:10:00,2005-01-13 14:13:00,C2.3,0
2005-01-13 16:24:00,2005-01-13 16:33:00,2005-01-13 16:37:00,C3.3,10718
2005-01-13 17:04:00,2005-01-13 17:12:00,2005-01-13 17:17:00,C4.2,10718
2005-01-13 18:50:00,2005-01-13 19:05:00,2005-01-13 19:10:00,C2.5,10718
2005-01-13 20:21:00,2005-01-13 20:26:00,2005-01-13 20:31:00,C1.2,10718
2005-01-13 22:36:00,2005-01-13 22:52:00,2005-01-13 22:58:00,C6.8,10718
2005-01-14 00:08:00,2005-01-14 00:14:00,2005-01-14 00:17:00,C1.0,10720
2005-01-14 02:06:00,2005-01-14 02:09:00,2005-01-14 02:15:00,B8.6,10720
2005-01-14 02:36:00,2005-01-14 02:43:00,2005-01-14 02:54:00,C1.4,10720
2005-01-14 03:55:00,2005-01-14 04:04:00,2005-01-14 04:09:00,C9.3,10718
2005-01-14 05:45:00,2005-01-14 05:49:00,2005-01-14 05:52:00,C1.0,10720
2005-01-14 06:01:00,2005-01-14 06:04:00,2005-01-14 06:10:00,B6.7,10720
2005-01-14 06:48:00,2005-01-14 06:53:00,2005-01-14 06:57:00,B8.1,10720
2005-01-14 07:23:00,2005-01-14 07:38:00,2005-01-14 07:43:00,C6.8,10720
2005-01-14 08:21:00,2005-01-14 08:37:00,2005-01-14 08:44:00,C1.4,10720
2005-01-14 08:54:00,2005-01-14 08:58:00,2005-01-14 09:01:00,C1.8,10720
2005-01-14 09:12:00,2005-01-14 09:17:00,2005-01-14 09:23:00,C1.9,10720
2005-01-14 09:51:00,2005-01-14 09:55:00,2005-01-14 09:58:00,C1.0,10720
2005-01-14 10:08:00,2005-01-14 10:20:00,2005-01-14 10:26:00,C8.9,10720
2005-01-14 11:34:00,2005-01-14 11:44:00,2005-01-14 11:53:00,C2.3,10718
2005-01-14 12:02:00,2005-01-14 12:05:00,2005-01-14 12:08:00,C2.1,10720
2005-01-14 12:33:00,2005-01-14 12:41:00,2005-01-14 12:50:00,C4.6,10718
2005-01-14 13:38:00,2005-01-14 13:42:00,2005-01-14 13:46:00,C2.4,10720
2005-01-14 13:53:00,2005-01-14 14:11:00,2005-01-14 14:45:00,M1.8,10720
2005-01-14 15:24:00,2005-01-14 15:51:00,2005-01-14 15:56:00,C8.0,10720
2005-01-14 16:02:00,2005-01-14 16:06:00,2005-01-14 16:14:00,M1.0,10718
2005-01-14 16:55:00,2005-01-14 16:58:00,2005-01-14 17:03:00,C2.5,10720
2005-01-14 17:35:00,2005-01-14 17:42:00,2005-01-14 17:50:00,C2.8,10720
2005-01-14 17:53:00,2005-01-14 17:57:00,2005-01-14 18:03:00,M1.5,10720
2005-01-14 18:21:00,2005-01-14 18:29:00,2005-01-14 18:33:00,C6.8,10720
2005-01-14 18:36:00,2005-01-14 18:41:00,2005-01-14 18:45:00,C7.7,10720
2005-01-14 19:07:00,2005-01-14 19:11:00,2005-01-14 19:17:00,C3.3,10720
2005-01-14 19:32:00,2005-01-14 19:36:00,2005-01-14 19:43:00,C1.4,10720
2005-01-14 20:26:00,2005-01-14 20:30:00,2005-01-14 20:35:00,C1.2,10720
2005-01-14 21:08:00,2005-01-14 21:26:00,2005-01-14 21:39:00,M1.9,10720
2005-01-14 21:59:00,2005-01-14 22:03:00,2005-01-14 22:07:00,C9.6,10720
2005-01-14 22:23:00,2005-01-14 22:26:00,2005-01-14 22:28:00,C3.0,10720
2005-01-14 22:50:00,2005-01-14 22:55:00,2005-01-14 22:57:00,C6.0,10720
2005-01-14 23:23:00,2005-01-14 23:33:00,2005-01-14 23:44:00,C5.6,10720
2005-01-15 00:22:00,2005-01-15 00:43:00,2005-01-15 01:02:00,X1.2,10720
2005-01-15 02:34:00,2005-01-15 02:39:00,2005-01-15 02:44:00,C2.9,10720
2005-01-15 03:16:00,2005-01-15 03:40:00,2005-01-15 03:57:00,C4.2,10720
2005-01-15 04:09:00,2005-01-15 04:16:00,2005-01-15 04:22:00,M1.3,10720
2005-01-15 04:26:00,2005-01-15 04:31:00,2005-01-15 04:36:00,M8.4,10720
2005-01-15 05:54:00,2005-01-15 06:38:00,2005-01-15 07:17:00,M8.6,10720
2005-01-15 11:41:00,2005-01-15 11:48:00,2005-01-15 11:50:00,M1.2,10720
2005-01-15 12:27:00,2005-01-15 12:31:00,2005-01-15 12:34:00,C7.4,10720
2005-01-15 13:52:00,2005-01-15 13:57:00,2005-01-15 13:59:00,C5.5,10720
2005-01-15 14:08:00,2005-01-15 14:23:00,2005-01-15 14:39:00,M3.2,10718
2005-01-15 16:50:00,2005-01-15 16:57:00,2005-01-15 17:02:00,C8.0,10720
2005-01-15 17:03:00,2005-01-15 17:07:00,2005-01-15 17:09:00,C7.2,10720
2005-01-15 17:49:00,2005-01-15 18:16:00,2005-01-15 18:24:00,C4.2,10720
2005-01-15 17:57:00,2005-01-15 18:02:00,2005-01-15 18:05:00,C2.9,10720
2005-01-15 18:12:00,2005-01-15 18:15:00,2005-01-15 18:18:00,C4.4,0
2005-01-15 18:42:00,2005-01-15 18:53:00,2005-01-15 19:01:00,C8.8,10720
2005-01-15 19:44:00,2005-01-15 19:49:00,2005-01-15 19:54:00,C3.5,10720
2005-01-15 20:08:00,2005-01-15 20:22:00,2005-01-15 20:27:00,C5.4,10720
2005-01-15 22:01:00,2005-01-15 22:08:00,2005-01-15 22:16:00,M1.0,10720
2005-01-15 22:25:00,2005-01-15 23:02:00,2005-01-15 23:31:00,X2.6,10720
2005-01-16 07:54:00,2005-01-16 07:58:00,2005-01-16 08:02:00,C4.4,10720
2005-01-16 10:05:00,2005-01-16 10:09:00,2005-01-16 10:13:00,C4.0,10720
2005-01-16 11:47:00,2005-01-16 11:51:00,2005-01-16 11:57:00,C2.8,0
2005-01-16 14:37:00,2005-01-16 14:40:00,2005-01-16 14:42:00,C2.9,10720
2005-01-16 15:06:00,2005-01-16 15:18:00,2005-01-16 15:32:00,C5.9,10720
2005-01-16 17:58:00,2005-01-16 18:07:00,2005-01-16 18:16:00,C2.0,10720
2005-01-16 18:25:00,2005-01-16 18:29:00,2005-01-16 18:36:00,C3.7,10720
2005-01-16 21:55:00,2005-01-16 22:03:00,2005-01-16 22:22:00,M2.4,10720
2005-01-17 02:44:00,2005-01-17 02:59:00,2005-01-17 03:07:00,C3.9,10720
2005-01-17 03:10:00,2005-01-17 03:21:00,2005-01-17 03:32:00,M2.6,10720
2005-01-17 06:06:00,2005-01-17 06:10:00,2005-01-17 06:15:00,C3.9,10720
2005-01-17 06:59:00,2005-01-17 09:52:00,2005-01-17 10:07:00,X3.8,10720
2005-01-18 00:37:00,2005-01-18 00:44:00,2005-01-18 00:51:00,C6.0,10720
2005-01-18 02:06:00,2005-01-18 02:12:00,2005-01-18 02:17:00,C3.2,10720
2005-01-18 05:41:00,2005-01-18 05:46:00,2005-01-18 05:49:00,C2.0,10720
2005-01-18 05:52:00,2005-01-18 06:15:00,2005-01-18 06:24:00,C6.1,10720
2005-01-18 07:47:00,2005-01-18 08:00:00,2005-01-18 08:18:00,C2.4,10720
2005-01-18 11:23:00,2005-01-18 11:32:00,2005-01-18 11:59:00,M1.6,10720
2005-01-18 15:38:00,2005-01-18 15:51:00,2005-01-18 15:59:00,M4.6,10720
2005-01-18 18:43:00,2005-01-18 18:48:00,2005-01-18 18:52:00,C2.1,10720
2005-01-18 18:56:00,2005-01-18 19:01:00,2005-01-18 19:09:00,C4.2,10720
2005-01-19 03:10:00,2005-01-19 03:24:00,2005-01-19 03:37:00,C1.8,10720
2005-01-19 04:44:00,2005-01-19 04:48:00,2005-01-19 04:52:00,C1.9,0
2005-01-19 05:10:00,2005-01-19 05:26:00,2005-01-19 05:35:00,C7.2,10720
2005-01-19 06:58:00,2005-01-19 07:31:00,2005-01-19 07:55:00,M6.7,10720
2005-01-19 08:03:00,2005-01-19 08:22:00,2005-01-19 08:40:00,X1.3,10720
2005-01-19 10:19:00,2005-01-19 10:24:00,2005-01-19 10:29:00,M2.7,10720
2005-01-19 15:32:00,2005-01-19 15:40:00,2005-01-19 15:48:00,M1.6,10720
2005-01-19 23:18:00,2005-01-19 23:24:00,2005-01-19 23:29:00,C5.3,10723
2005-01-20 00:37:00,2005-01-20 00:47:00,2005-01-20 00:56:00,C1.6,10720
2005-01-20 03:21:00,2005-01-20 03:30:00,2005-01-20 03:36:00,C4.8,10720
2005-01-20 06:36:00,2005-01-20 07:01:00,2005-01-20 07:26:00,X7.1,10720
2005-01-20 16:08:00,2005-01-20 16:14:00,2005-01-20 16:19:00,C8.0,10720
2005-01-20 18:13:00,2005-01-20 18:16:00,2005-01-20 18:19:00,C3.6,10720
2005-01-20 21:47:00,2005-01-20 21:53:00,2005-01-20 21:56:00,C4.5,10720
2005-01-21 00:19:00,2005-01-21 00:24:00,2005-01-21 00:26:00,C5.8,10720
2005-01-21 04:17:00,2005-01-21 04:27:00,2005-01-21 04:34:00,C6.3,10720
2005-01-21 06:30:00,2005-01-21 06:36:00,2005-01-21 06:38:00,C1.6,10720
2005-01-21 06:41:00,2005-01-21 06:46:00,2005-01-21 06:49:00,C1.8,10720
2005-01-21 08:21:00,2005-01-21 08:35:00,2005-01-21 08:40:00,C1.3,10719
2005-01-21 09:05:00,2005-01-21 09:12:00,2005-01-21 09:18:00,C1.7,10719
2005-01-21 10:10:00,2005-01-21 10:16:00,2005-01-21 10:19:00,M1.7,10720
2005-01-21 12:07:00,2005-01-21 12:12:00,2005-01-21 12:16:00,C1.3,10719
2005-01-21 13:47:00,2005-01-21 13:55:00,2005-01-21 14:10:00,M1.2,10719
2005-01-21 17:05:00,2005-01-21 17:11:00,2005-01-21 17:14:00,C1.6,10720
2005-01-21 20:43:00,2005-01-21 20:49:00,2005-01-21 20:55:00,C1.6,10720
2005-01-22 04:14:00,2005-01-22 04:32:00,2005-01-22 04:47:00,C3.1,10719
