event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2007-01-01 17:51:00,2007-01-01 17:55:00,2007-01-01 18:00:00,B1.3,10933
2007-01-01 18:05:00,2007-01-01 18:10:00,2007-01-01 18:13:00,B1.2,10933
2007-01-01 20:35:00,2007-01-01 20:40:00,2007-01-01 20:45:00,B1.6,10933
2007-01-02 14:36:00,2007-01-02 14:41:00,2007-01-02 14:47:00,B1.2,10933
2007-01-02 15:51:00,2007-01-02 15:55:00,2007-01-02 16:01:00,B1.4,0
2007-01-02 17:32:00,2007-01-02 17:38:00,2007-01-02 17:49:00,B1.7,0
2007-01-02 18:59:00,2007-01-02 19:04:00,2007-01-02 19:07:00,B1.4,10933
2007-01-03 01:05:00,2007-01-03 01:09:00,2007-01-03 01:14:00,B1.3,0
2007-01-03 02:50:00,2007-01-03 02:54:00,2007-01-03 03:01:00,B1.3,0
2007-01-03 12:21:00,2007-01-03 12:25:00,2007-01-03 12:30:00,B1.8,0
2007-01-04 18:24:00,2007-01-04 18:30:00,2007-01-04 18:35:00,B3.8,0
2007-01-08 12:16:00,2007-01-08 12:19:00,2007-01-08 12:22:00,B1.6,0
2007-01-08 12:25:00,2007-01-08 12:28:00,2007-01-08 12:30:00,B1.5,0
2007-01-08 18:35:00,2007-01-08 18:40:00,2007-01-08 18:42:00,B1.4,0
2007-01-09 07:19:00,2007-01-09 07:23:00,2007-01-09 07:28:00,B1.2,0
2007-01-09 08:32:00,2007-01-09 08:46:00,2007-01-09 08:59:00,B2.5,0
2007-01-09 10:54:00,2007-01-09 10:57:00,2007-01-09 11:02:00,B1.0,0
2007-01-09 11:52:00,2007-01-09 11:56:00,2007-01-09 12:00:00,B1.2,0
2007-01-09 13:01:00,2007-01-09 13:08:00,2007-01-09 13:14:00,B1.2,0
2007-01-09 14:47:00,2007-01-09 14:54:00,2007-01-09 15:00:00,B1.4,0
2007-01-09 21:49:00,2007-01-09 22:04:00,2007-01-09 22:13:00,B2.6,10933
2007-01-10 08:34:00,2007-01-10 08:40:00,2007-01-10 08:42:00,B1.8,10933
2007-01-10 09:01:00,2007-01-10 09:05:00,2007-01-10 09:07:00,B1.3,10933
2007-01-10 09:14:00,2007-01-10 09:51:00,2007-01-10 10:00:00,C1.7,10933
2007-01-10 10:53:00,2007-01-10 10:56:00,2007-01-10 10:58:00,B3.9,10933
2007-01-10 21:59:00,2007-01-10 22:10:00,2007-01-10 22:15:00,B1.4,10933
2007-01-10 23:22:00,2007-01-10 23:26:00,2007-01-10 23:30:00,B1.1,0
2007-01-11 00:56:00,2007-01-11 01:04:00,2007-01-11 01:12:00,C1.0,10933
2007-01-11 06:03:00,2007-01-11 06:07:00,2007-01-11 06:09:00,B1.7,10933
2007-01-11 23:38:00,2007-01-11 23:42:00,2007-01-11 23:48:00,B1.1,0
2007-01-12 01:18:00,2007-01-12 01:38:00,2007-01-12 01:49:00,C1.5,10933
2007-01-12 19:19:00,2007-01-12 19:37:00,2007-01-12 19:45:00,B3.1,10933
2007-01-13 06:19:00,2007-01-13 06:26:00,2007-01-13 06:35:00,B4.8,10933
2007-01-13 08:42:00,2007-01-13 08:46:00,2007-01-13 08:53:00,B1.3,0
2007-01-13 10:50:00,2007-01-13 10:53:00,2007-01-13 10:56:00,B1.1,0
2007-01-13 12:50:00,2007-01-13 12:53:00,2007-01-13 12:58:00,B1.2,0
2007-01-13 13:59:00,2007-01-13 14:03:00,2007-01-13 14:05:00,B1.1,0
2007-01-13 15:08:00,2007-01-13 15:13:00,2007-01-13 15:15:00,B2.6,0
2007-01-13 16:33:00,2007-01-13 16:37:00,2007-01-13 16:41:00,B1.1,10938
2007-01-13 23:39:00,2007-01-13 23:47:00,2007-01-13 23:55:00,B2.9,10938
2007-01-14 00:12:00,2007-01-14 00:19:00,2007-01-14 00:25:00,B1.7,10938
2007-01-14 09:01:00,2007-01-14 09:05:00,2007-01-14 09:08:00,B1.7,10938
2007-01-14 09:57:00,2007-01-14 10:05:00,2007-01-14 10:13:00,B3.2,10938
2007-01-14 16:30:00,2007-01-14 16:34:00,2007-01-14 16:37:00,B1.0,0
2007-01-14 18:49:00,2007-01-14 18:59:00,2007-01-14 19:06:00,B3.2,10938
2007-01-14 21:44:00,2007-01-14 21:51:00,2007-01-14 22:00:00,B1.4,10938
2007-01-14 22:33:00,2007-01-14 22:42:00,2007-01-14 22:47:00,B1.9,10938
2007-01-14 23:07:00,2007-01-14 23:19:00,2007-01-14 23:28:00,B3.8,10938
2007-01-15 00:46:00,2007-01-15 00:50:00,2007-01-15 00:53:00,B1.3,10938
2007-01-15 01:02:00,2007-01-15 01:06:00,2007-01-15 01:10:00,B1.3,10938
2007-01-15 02:11:00,2007-01-15 02:44:00,2007-01-15 02:53:00,B5.1,10938
2007-01-15 02:54:00,2007-01-15 03:08:00,2007-01-15 03:19:00,C1.4,10938
2007-01-15 04:49:00,2007-01-15 04:56:00,2007-01-15 05:02:00,B1.1,0
2007-01-15 07:40:00,2007-01-15 07:53:00,2007-01-15 07:59:00,B9.3,10938
2007-01-15 11:42:00,2007-01-15 11:57:00,2007-01-15 12:04:00,B4.1,10938
2007-01-15 14:30:00,2007-01-15 14:34:00,2007-01-15 14:38:00,B1.2,10938
