event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
1995-01-02 02:54:00,1995-01-02 03:05:00,1995-01-02 03:22:00,B5.4,0
1995-01-02 20:00:00,1995-01-02 20:04:00,1995-01-02 20:07:00,B9.4,7822
1995-01-02 20:01:00,1995-01-02 20:03:00,1995-01-02 20:15:00,B9.4,7822
1995-01-02 21:40:00,1995-01-02 21:47:00,1995-01-02 21:53:00,B1.8,0
1995-01-02 22:44:00,1995-01-02 22:54:00,1995-01-02 23:02:00,B7.3,0
1995-01-03 00:09:00,1995-01-03 00:14:00,1995-01-03 00:19:00,B4.8,0
1995-01-03 00:44:00,1995-01-03 00:49:00,1995-01-03 00:54:00,B1.2,0
1995-01-03 01:16:00,1995-01-03 01:21:00,1995-01-03 01:30:00,B1.7,0
1995-01-03 02:01:00,1995-01-03 02:05:00,1995-01-03 02:10:00,B1.3,0
1995-01-03 02:37:00,1995-01-03 02:49:00,1995-01-03 02:56:00,B9.9,0
1995-01-03 03:15:00,1995-01-03 03:21:00,1995-01-03 03:25:00,B6.6,0
1995-01-03 03:56:00,1995-01-03 04:01:00,1995-01-03 04:07:00,C2.9,7822
1995-01-03 04:00:00,1995-01-03 04:00:00,1995-01-03 04:04:00,C2.9,7822
1995-01-04 03:58:00,1995-01-04 04:02:00,1995-01-04 04:05:00,B4.3,0
1995-01-04 05:41:00,1995-01-04 05:47:00,1995-01-04 05:51:00,B5.1,0
1995-01-04 06:09:00,1995-01-04 06:15:00,1995-01-04 06:22:00,B5.9,0
1995-01-04 06:35:00,1995-01-04 06:38:00,1995-01-04 06:41:00,C1.1,0
1995-01-04 11:33:00,1995-01-04 11:39:00,1995-01-04 11:43:00,B1.2,0
1995-01-04 12:28:00,1995-01-04 12:31:00,1995-01-04 12:33:00,B1.2,0
1995-01-04 13:33:00,1995-01-04 13:39:00,1995-01-04 13:44:00,B1.0,0
1995-01-04 23:27:00,1995-01-04 23:33:00,1995-01-04 23:37:00,B1.6,0
1995-01-12 06:57:00,1995-01-12 07:03:00,1995-01-12 07:09:00,B1.3,0
1995-01-13 05:32:00,1995-01-13 05:40:00,1995-01-13 05:47:00,B2.3,0
1995-01-13 18:39:00,1995-01-13 18:47:00,1995-01-13 18:55:00,B1.7,0
1995-01-13 20:14:00,1995-01-13 20:20:00,1995-01-13 20:25:00,B4.8,0
1995-01-15 11:16:00,1995-01-15 11:21:00,1995-01-15 11:24:00,B2.0,0
1995-01-15 18:30:00,1995-01-15 18:38:00,1995-01-15 18:42:00,B6.1,7827
1995-01-15 18:32:00,1995-01-15 18:38:00,1995-01-15 18:57:00,B6.1,7827
1995-01-15 21:34:00,1995-01-15 21:43:00,1995-01-15 21:47:00,B1.1,0
1995-01-15 22:19:00,1995-01-15 22:22:00,1995-01-15 22:24:00,B1.1,0
1995-01-15 23:01:00,1995-01-15 23:07:00,1995-01-15 23:10:00,B1.5,0
1995-01-15 23:27:00,1995-01-15 23:31:00,1995-01-15 23:33:00,B1.6,0
1995-01-15 23:43:00,1995-01-15 23:47:00,1995-01-15 23:49:00,B1.6,0
1995-01-16 11:10:00,1995-01-16 11:18:00,1995-01-16 11:26:00,B1.5,0
1995-01-16 16:59:00,1995-01-16 17:04:00,1995-01-16 17:12:00,B2.6,0
1995-01-16 18:37:00,1995-01-16 18:54:00,1995-01-16 19:05:00,B2.8,7827
1995-01-16 18:48:00,1995-01-16 19:02:00,1995-01-16 19:12:00,B2.8,7827
1995-01-16 22:22:00,1995-01-16 22:26:00,1995-01-16 22:30:00,B1.7,0
1995-01-16 22:43:00,1995-01-16 22:47:00,1995-01-16 22:51:00,B1.9,0
1995-01-17 00:38:00,1995-01-17 00:45:00,1995-01-17 00:50:00,B2.9,0
1995-01-17 04:25:00,1995-01-17 05:05:00,1995-01-17 05:14:00,B2.5,0
1995-01-17 11:23:00,1995-01-17 11:26:00,1995-01-17 11:28:00,B3.6,0
1995-01-17 14:14:00,1995-01-17 14:20:00,1995-01-17 14:25:00,B3.5,0
1995-01-18 09:32:00,1995-01-18 09:36:00,1995-01-18 09:41:00,B1.9,0
1995-01-18 10:54:00,1995-01-18 11:01:00,1995-01-18 11:08:00,B3.8,0
1995-01-18 16:35:00,1995-01-18 16:42:00,1995-01-18 16:46:00,B5.1,0
1995-01-18 17:32:00,1995-01-18 17:36:00,1995-01-18 18:06:00,C1.2,7827
1995-01-19 06:18:00,1995-01-19 06:23:00,1995-01-19 06:31:00,B3.3,0
1995-01-19 06:44:00,1995-01-19 06:56:00,1995-01-19 07:03:00,B4.1,0
1995-01-19 09:06:00,1995-01-19 09:12:00,1995-01-19 09:16:00,B3.7,0
1995-01-19 11:08:00,1995-01-19 11:14:00,1995-01-19 11:20:00,B3.2,0
1995-01-19 13:05:00,1995-01-19 13:14:00,1995-01-19 13:25:00,B6.0,0
1995-01-19 16:30:00,1995-01-19 16:37:00,1995-01-19 17:14:00,B4.2,0
1995-01-19 18:07:00,1995-01-19 18:10:00,1995-01-19 18:13:00,B2.9,0
1995-01-19 19:00:00,1995-01-19 19:08:00,1995-01-19 19:12:00,C1.2,0
1995-01-19 19:19:00,1995-01-19 19:31:00,1995-01-19 19:38:00,C1.6,0
1995-01-19 20:50:00,1995-01-19 20:54:00,1995-01-19 20:56:00,B3.9,0
1995-01-20 00:06:00,1995-01-20 00:12:00,1995-01-20 00:17:00,B3.1,0
1995-01-20 02:57:00,1995-01-20 03:04:00,1995-01-20 03:12:00,C1.2,7830
1995-01-20 03:01:00,1995-01-20 03:02:00,1995-01-20 03:09:00,C1.2,7830
1995-01-20 06:30:00,1995-01-20 06:44:00,1995-01-20 06:57:00,B8.0,0
1995-01-20 07:17:00,1995-01-20 07:21:00,1995-01-20 07:23:00,B3.9,0
1995-01-20 07:26:00,1995-01-20 07:31:00,1995-01-20 07:35:00,C1.1,7830
1995-01-20 07:29:00,1995-01-20 07:29:00,1995-01-20 07:33:00,C1.1,7830
1995-01-20 07:42:00,1995-01-20 07:46:00,1995-01-20 07:50:00,B4.3,0
1995-01-20 11:39:00,1995-01-20 11:43:00,1995-01-20 11:47:00,B3.5,0
1995-01-20 12:47:00,1995-01-20 12:51:00,1995-01-20 12:54:00,B4.0,0
1995-01-20 14:09:00,1995-01-20 14:12:00,1995-01-20 14:14:00,B4.4,7829
1995-01-20 14:10:00,1995-01-20 14:12:00,1995-01-20 14:17:00,B4.4,7829
1995-01-20 16:38:00,1995-01-20 16:43:00,1995-01-20 16:49:00,B7.3,7829
1995-01-20 16:39:00,1995-01-20 16:43:00,1995-01-20 16:45:00,B7.3,7829
1995-01-20 17:17:00,1995-01-20 17:28:00,1995-01-20 17:32:00,B6.2,7830
1995-01-20 17:18:00,1995-01-20 17:22:00,1995-01-20 17:36:00,B6.2,7830
1995-01-20 17:55:00,1995-01-20 18:00:00,1995-01-20 18:20:00,B5.1,7830
1995-01-20 17:58:00,1995-01-20 17:58:00,1995-01-20 18:06:00,B5.1,7830
1995-01-20 22:54:00,1995-01-20 22:58:00,1995-01-20 23:03:00,B2.9,0
1995-01-21 03:33:00,1995-01-21 03:37:00,1995-01-21 03:40:00,B3.4,0
1995-01-21 05:54:00,1995-01-21 05:59:00,1995-01-21 06:07:00,B3.5,0
1995-01-21 07:48:00,1995-01-21 07:59:00,1995-01-21 08:11:00,C4.5,7830
