event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
1983-01-01 02:11:00,1983-01-01 02:13:00,1983-01-01 02:26:00,C1.3,4033
1983-01-01 03:35:00,1983-01-01 03:37:00,1983-01-01 03:43:00,C1.2,4033
1983-01-01 04:21:00,1983-01-01 04:23:00,1983-01-01 04:30:00,C1.0,4039
1983-01-01 09:42:00,1983-01-01 09:49:00,1983-01-01 10:06:00,C8.7,4033
1983-01-01 13:50:00,1983-01-01 14:06:00,1983-01-01 14:10:00,C8.0,0
1983-01-01 15:26:00,1983-01-01 15:34:00,1983-01-01 15:38:00,C1.1,0
1983-01-01 17:29:00,1983-01-01 17:33:00,1983-01-01 17:38:00,C8.0,0
1983-01-01 22:54:00,1983-01-01 22:59:00,1983-01-01 23:27:00,C5.9,4033
1983-01-02 02:02:00,1983-01-02 02:02:00,1983-01-02 02:21:00,M1.1,4033
1983-01-02 14:26:00,1983-01-02 14:31:00,1983-01-02 14:36:00,C1.0,0
1983-01-02 15:11:00,1983-01-02 15:24:00,1983-01-02 15:47:00,C1.0,4039
1983-01-02 23:43:00,1983-01-02 23:46:00,1983-01-02 23:48:00,C2.0,0
1983-01-03 03:09:00,1983-01-03 03:13:00,1983-01-03 03:18:00,C9.0,0
1983-01-03 08:52:00,1983-01-03 08:52:00,1983-01-03 09:04:00,C7.0,4039
1983-01-03 09:01:00,1983-01-03 09:05:00,1983-01-03 09:20:00,C8.0,4047
1983-01-03 13:35:00,1983-01-03 13:48:00,1983-01-03 13:55:00,C1.1,0
1983-01-03 16:33:00,1983-01-03 16:36:00,1983-01-03 16:38:00,C8.0,0
1983-01-03 17:29:00,1983-01-03 17:34:00,1983-01-03 17:56:00,C8.0,4049
1983-01-04 13:49:00,1983-01-04 13:57:00,1983-01-04 14:07:00,C1.0,0
1983-01-04 20:43:00,1983-01-04 20:49:00,1983-01-04 20:52:00,C2.1,0
1983-01-05 00:53:00,1983-01-05 00:59:00,1983-01-05 01:07:00,C1.1,0
1983-01-05 02:56:00,1983-01-05 02:59:00,1983-01-05 03:01:00,C2.2,0
1983-01-05 03:29:00,1983-01-05 03:39:00,1983-01-05 04:17:00,C3.3,4048
1983-01-05 05:45:00,1983-01-05 05:52:00,1983-01-05 05:59:00,C1.5,0
1983-01-05 07:49:00,1983-01-05 07:53:00,1983-01-05 08:00:00,C1.3,0
1983-01-05 08:48:00,1983-01-05 08:51:00,1983-01-05 08:55:00,C1.1,0
1983-01-05 09:35:00,1983-01-05 09:43:00,1983-01-05 09:51:00,C2.1,0
1983-01-05 13:24:00,1983-01-05 13:28:00,1983-01-05 13:32:00,C1.2,0
1983-01-06 00:34:00,1983-01-06 00:34:00,1983-01-06 01:00:00,C1.0,4048
1983-01-06 05:03:00,1983-01-06 05:48:00,1983-01-06 05:48:00,C1.4,4048
1983-01-06 07:32:00,1983-01-06 07:35:00,1983-01-06 08:15:00,C1.8,4051
1983-01-06 11:48:00,1983-01-06 11:54:00,1983-01-06 12:00:00,C1.4,0
1983-01-06 12:27:00,1983-01-06 12:39:00,1983-01-06 12:42:00,C1.3,0
1983-01-06 15:01:00,1983-01-06 15:09:00,1983-01-06 15:35:00,C1.3,4048
1983-01-06 17:20:00,1983-01-06 17:30:00,1983-01-06 17:38:00,C1.3,0
1983-01-06 20:13:00,1983-01-06 20:21:00,1983-01-06 20:32:00,C1.0,0
1983-01-07 02:06:00,1983-01-07 02:06:00,1983-01-07 02:27:00,C2.9,4051
1983-01-07 04:58:00,1983-01-07 05:01:00,1983-01-07 05:50:00,C2.0,4046
1983-01-07 05:02:00,1983-01-07 05:10:00,1983-01-07 05:24:00,C2.0,4046
1983-01-07 08:00:00,1983-01-07 10:06:00,1983-01-07 11:33:00,C4.9,0
1983-01-07 15:27:00,1983-01-07 15:28:00,1983-01-07 15:43:00,C2.2,4051
1983-01-07 16:10:00,1983-01-07 16:12:00,1983-01-07 16:20:00,C1.2,4051
