event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2020-01-03 21:02:00,2020-01-03 21:03:00,2020-01-03 21:04:00,A1.0,0
2020-01-10 11:52:00,2020-01-10 11:59:00,2020-01-11 01:24:00,B1.1,12756
2020-01-10 14:41:00,2020-01-10 14:45:00,2020-01-10 14:51:00,B1.1,12756
2020-01-16 01:48:00,2020-01-16 01:51:00,2020-01-16 01:52:00,A7.8,0
2020-01-19 18:33:00,2020-01-19 18:35:00,2020-01-19 18:41:00,B1.0,0
2020-01-24 19:47:00,2020-01-24 19:51:00,2020-01-24 19:53:00,B1.3,0
2020-01-25 07:11:00,2020-01-25 07:14:00,2020-01-25 07:18:00,B1.1,12757
2020-01-31 14:47:00,2020-01-31 15:03:00,2020-01-31 15:23:00,A9.6,12757
2020-02-07 04:20:00,2020-02-07 04:21:00,2020-02-07 04:22:00,A1.1,0
2020-02-20 05:30:00,2020-02-20 05:31:00,2020-02-20 05:32:00,A1.1,0
2020-02-26 18:57:00,2020-02-26 19:03:00,2020-02-26 19:05:00,A9.5,0
2020-03-04 13:33:00,2020-03-04 13:34:00,2020-03-04 13:35:00,A8.1,0
2020-03-11 05:49:00,2020-03-11 05:56:00,2020-03-11 06:00:00,B2.3,0
2020-03-17 16:59:00,2020-03-17 17:01:00,2020-03-17 17:02:00,A9.0,0
2020-03-23 14:33:00,2020-03-23 14:36:00,2020-03-23 14:37:00,A2.6,0
2020-03-30 18:17:00,2020-03-30 18:18:00,2020-03-30 18:19:00,A1.1,0
2020-04-04 00:43:00,2020-04-04 00:52:00,2020-04-04 00:56:00,B4.2,12759
2020-04-04 01:30:00,2020-04-04 01:38:00,2020-04-04 01:42:00,B1.4,12759
2020-04-06 05:35:00,2020-04-06 05:48:00,2020-04-06 05:58:00,B2.5,12759
2020-04-06 08:22:00,2020-04-06 08:31:00,2020-04-06 08:38:00,B1.8,12759
2020-04-07 01:46:00,2020-04-07 01:59:00,2020-04-08 00:26:00,B4.5,12759
2020-04-09 01:31:00,2020-04-09 09:32:00,2020-04-09 09:18:00,B1.6,12759
2020-04-18 06:40:00,2020-04-18 06:41:00,2020-04-18 06:43:00,A1.1,0
2020-04-23 15:40:00,2020-04-23 15:45:00,2020-04-23 15:50:00,A6.7,0
2020-04-23 17:10:00,2020-04-23 17:13:00,2020-04-23 17:21:00,A7.2,0
2020-04-30 01:29:00,2020-04-30 12:17:00,2020-04-30 12:21:00,B1.3,12762
2020-05-01 14:30:00,2020-05-01 14:36:00,2020-05-01 14:40:00,B2.6,12762
2020-05-08 20:00:00,2020-05-08 20:01:00,2020-05-08 20:02:00,A1.1,0
2020-05-15 20:04:00,2020-05-15 20:22:00,2020-05-15 20:38:00,A7.9,0
2020-05-27 02:24:00,2020-05-27 18:35:00,2020-05-27 18:18:00,B1.4,0
2020-05-28 09:31:00,2020-05-28 09:40:00,2020-05-29 01:03:00,B1.1,0
2020-05-28 10:13:00,2020-05-28 10:36:00,2020-05-28 10:27:00,B2.9,0
2020-05-28 23:27:00,2020-05-28 23:34:00,2020-05-28 23:40:00,B1.4,0
2020-05-29 01:11:00,2020-05-29 01:16:00,2020-05-29 11:11:00,B2.5,0
2020-05-29 01:21:00,2020-05-29 01:29:00,2020-05-29 01:35:00,B1.2,0
2020-05-29 02:41:00,2020-05-29 02:44:00,2020-05-29 02:56:00,B1.6,0
2020-05-29 03:39:00,2020-05-29 03:48:00,2020-05-30 00:40:00,B1.1,0
2020-05-29 04:35:00,2020-05-29 04:42:00,2020-05-29 04:48:00,B1.0,0
2020-05-29 06:49:00,2020-05-29 06:59:00,2020-05-30 01:15:00,B1.4,0
2020-05-29 07:13:00,2020-05-29 07:24:00,2020-05-29 07:28:00,M1.1,0
2020-05-29 08:29:00,2020-05-29 08:35:00,2020-05-29 08:41:00,B3.1,0
