event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2006-01-01 21:41:00,2006-01-01 22:16:00,2006-01-01 23:00:00,C1.5,10838
2006-01-02 17:52:00,2006-01-02 17:56:00,2006-01-02 17:58:00,B1.1,10843
2006-01-03 05:11:00,2006-01-03 05:14:00,2006-01-03 05:16:00,B1.1,10841
2006-01-03 11:34:00,2006-01-03 11:37:00,2006-01-03 11:40:00,B1.1,10841
2006-01-03 14:11:00,2006-01-03 14:15:00,2006-01-03 14:18:00,B2.8,10843
2006-01-03 14:42:00,2006-01-03 14:46:00,2006-01-03 14:49:00,B1.9,10843
2006-01-03 17:08:00,2006-01-03 17:11:00,2006-01-03 17:13:00,B1.0,10843
2006-01-03 17:23:00,2006-01-03 17:27:00,2006-01-03 17:35:00,B1.3,10843
2006-01-03 21:22:00,2006-01-03 21:28:00,2006-01-03 21:31:00,B1.7,10841
2006-01-04 09:40:00,2006-01-04 09:44:00,2006-01-04 09:47:00,B1.4,10841
2006-01-05 05:42:00,2006-01-05 05:46:00,2006-01-05 05:51:00,B1.2,10840
2006-01-05 07:20:00,2006-01-05 07:42:00,2006-01-05 08:20:00,B8.6,10841
2006-01-05 09:17:00,2006-01-05 09:23:00,2006-01-05 09:26:00,C4.4,10843
2006-01-05 10:44:00,2006-01-05 10:47:00,2006-01-05 10:49:00,B1.8,0
2006-01-15 10:47:00,2006-01-15 10:51:00,2006-01-15 10:54:00,B1.0,0
2006-01-15 12:48:00,2006-01-15 12:51:00,2006-01-15 12:53:00,B1.1,0
2006-01-15 13:18:00,2006-01-15 13:22:00,2006-01-15 13:29:00,B1.3,0
2006-01-15 14:42:00,2006-01-15 14:45:00,2006-01-15 14:47:00,C1.0,0
2006-01-15 16:11:00,2006-01-15 16:15:00,2006-01-15 16:18:00,B2.4,10847
2006-01-15 17:42:00,2006-01-15 17:45:00,2006-01-15 17:49:00,B1.7,10847
2006-01-16 04:04:00,2006-01-16 04:08:00,2006-01-16 04:14:00,B1.4,10847
2006-01-16 11:05:00,2006-01-16 11:08:00,2006-01-16 11:11:00,B3.3,10847
2006-01-17 01:07:00,2006-01-17 01:12:00,2006-01-17 01:16:00,B1.7,10846
2006-01-18 19:05:00,2006-01-18 19:08:00,2006-01-18 19:10:00,B1.4,10848
2006-01-18 23:00:00,2006-01-18 23:06:00,2006-01-18 23:11:00,B2.3,10848
2006-01-19 00:58:00,2006-01-19 01:15:00,2006-01-19 01:27:00,B3.9,10847
2006-01-19 10:28:00,2006-01-19 10:32:00,2006-01-19 10:35:00,B1.1,0
2006-01-19 13:08:00,2006-01-19 13:12:00,2006-01-19 13:15:00,B2.4,10848
2006-01-19 14:07:00,2006-01-19 14:10:00,2006-01-19 14:13:00,B1.6,10848
2006-01-20 08:57:00,2006-01-20 09:10:00,2006-01-20 09:16:00,B1.9,10847
2006-01-20 11:12:00,2006-01-20 11:18:00,2006-01-20 11:26:00,B1.2,10847
2006-01-20 17:26:00,2006-01-20 17:29:00,2006-01-20 17:32:00,B1.6,10848
2006-01-20 23:11:00,2006-01-20 23:18:00,2006-01-20 23:28:00,B1.3,10847
2006-01-21 01:33:00,2006-01-21 01:38:00,2006-01-21 01:55:00,B1.7,10848
2006-01-21 04:47:00,2006-01-21 04:53:00,2006-01-21 05:04:00,B1.8,10848
2006-01-21 05:34:00,2006-01-21 05:43:00,2006-01-21 05:52:00,B2.3,10848
2006-01-21 08:03:00,2006-01-21 08:06:00,2006-01-21 08:09:00,B1.8,10848
2006-01-21 09:05:00,2006-01-21 09:09:00,2006-01-21 09:13:00,B1.2,10848
2006-01-21 10:28:00,2006-01-21 10:31:00,2006-01-21 10:33:00,B1.3,10848
2006-01-21 13:47:00,2006-01-21 13:50:00,2006-01-21 13:52:00,B1.6,10848
2006-01-21 13:59:00,2006-01-21 14:06:00,2006-01-21 14:15:00,B4.1,10848
2006-01-21 14:25:00,2006-01-21 14:30:00,2006-01-21 14:36:00,B4.3,10848
2006-01-21 20:46:00,2006-01-21 20:51:00,2006-01-21 20:56:00,B2.7,10848
2006-01-21 22:02:00,2006-01-21 22:06:00,2006-01-21 22:09:00,B3.2,10848
2006-01-21 23:01:00,2006-01-21 23:05:00,2006-01-21 23:08:00,B1.8,10848
2006-01-21 23:14:00,2006-01-21 23:18:00,2006-01-21 23:29:00,B3.5,10848
2006-01-22 06:53:00,2006-01-22 06:58:00,2006-01-22 07:01:00,B1.5,10848
2006-01-22 07:53:00,2006-01-22 07:56:00,2006-01-22 07:59:00,B1.3,10848
2006-01-22 08:11:00,2006-01-22 08:14:00,2006-01-22 08:18:00,B1.2,10848
2006-01-22 08:21:00,2006-01-22 08:25:00,2006-01-22 08:27:00,B1.9,10848
2006-01-22 09:09:00,2006-01-22 09:13:00,2006-01-22 09:17:00,B2.8,10848
2006-01-22 10:03:00,2006-01-22 10:07:00,2006-01-22 10:13:00,B4.2,10848
2006-01-22 10:03:00,2006-01-22 10:16:00,2006-01-22 10:26:00,B4.8,10848
2006-01-22 10:49:00,2006-01-22 10:56:00,2006-01-22 11:01:00,B5.0,10848
2006-01-22 12:32:00,2006-01-22 12:43:00,2006-01-22 12:50:00,C1.3,10848
2006-01-22 13:21:00,2006-01-22 13:25:00,2006-01-22 13:27:00,B4.0,10848
2006-01-22 14:01:00,2006-01-22 14:10:00,2006-01-22 14:15:00,C4.1,10848
