event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
1994-01-01 00:16:00,1994-01-01 01:58:00,1994-01-01 02:08:00,C2.8,0
1994-01-01 01:20:00,1994-01-01 01:20:00,1994-01-01 01:23:00,,7640
1994-01-01 01:20:00,1994-01-01 01:20:00,1994-01-01 01:23:00,,7640
1994-01-01 01:56:00,1994-01-01 01:58:00,1994-01-01 02:02:00,,7640
1994-01-01 01:56:00,1994-01-01 01:58:00,1994-01-01 02:02:00,,7640
1994-01-01 01:57:00,1994-01-01 01:58:00,1994-01-01 02:16:00,,7646
1994-01-01 01:57:00,1994-01-01 01:58:00,1994-01-01 02:16:00,,7646
1994-01-01 03:23:00,1994-01-01 03:26:00,1994-01-01 03:29:00,C1.8,7645
1994-01-01 03:27:00,1994-01-01 03:27:00,1994-01-01 03:34:00,C1.8,7645
1994-01-01 03:35:00,1994-01-01 03:41:00,1994-01-01 03:50:00,C2.4,0
1994-01-01 05:50:00,1994-01-01 05:55:00,1994-01-01 06:03:00,C2.0,7640
1994-01-01 05:54:00,1994-01-01 05:54:00,1994-01-01 05:58:00,C2.0,7640
1994-01-01 05:57:00,1994-01-01 06:00:00,1994-01-01 06:06:00,,7646
1994-01-01 05:57:00,1994-01-01 06:00:00,1994-01-01 06:06:00,,7646
1994-01-01 07:50:00,1994-01-01 07:54:00,1994-01-01 07:58:00,C1.2,0
1994-01-01 12:19:00,1994-01-01 12:23:00,1994-01-01 12:26:00,C1.5,7645
1994-01-01 12:23:00,1994-01-01 12:23:00,1994-01-01 12:33:00,C1.5,7645
1994-01-01 12:54:00,1994-01-01 12:59:00,1994-01-01 13:02:00,C1.6,0
1994-01-01 13:41:00,1994-01-01 13:48:00,1994-01-01 13:53:00,C1.7,0
1994-01-01 15:40:00,1994-01-01 16:09:00,1994-01-01 16:49:00,C2.0,0
1994-01-01 17:35:00,1994-01-01 17:45:00,1994-01-01 18:00:00,C4.4,7647
1994-01-01 17:35:00,1994-01-01 17:41:00,1994-01-01 18:06:00,C4.4,7647
1994-01-01 23:11:00,1994-01-01 23:15:00,1994-01-01 23:19:00,C1.3,0
1994-01-02 02:14:00,1994-01-02 02:15:00,1994-01-02 02:17:00,,7646
1994-01-02 02:14:00,1994-01-02 02:15:00,1994-01-02 02:17:00,,7646
1994-01-02 02:29:00,1994-01-02 02:36:00,1994-01-02 02:40:00,C1.5,0
1994-01-02 05:46:00,1994-01-02 05:55:00,1994-01-02 06:02:00,C1.5,0
1994-01-02 08:26:00,1994-01-02 08:32:00,1994-01-02 08:36:00,C1.0,0
1994-01-02 11:39:00,1994-01-02 11:49:00,1994-01-02 11:55:00,C1.1,0
1994-01-02 14:04:00,1994-01-02 14:08:00,1994-01-02 14:14:00,C1.1,0
1994-01-02 15:08:00,1994-01-02 15:11:00,1994-01-02 15:13:00,B9.2,0
1994-01-02 15:42:00,1994-01-02 15:43:00,1994-01-02 15:48:00,,7645
1994-01-02 15:42:00,1994-01-02 15:43:00,1994-01-02 15:48:00,,7645
1994-01-02 18:48:00,1994-01-02 18:48:00,1994-01-02 18:51:00,,7646
1994-01-02 18:48:00,1994-01-02 18:48:00,1994-01-02 18:51:00,,7646
1994-01-02 19:13:00,1994-01-02 19:56:00,1994-01-02 20:10:00,C1.8,0
1994-01-02 21:59:00,1994-01-02 21:59:00,1994-01-02 22:08:00,,7645
1994-01-02 21:59:00,1994-01-02 21:59:00,1994-01-02 22:08:00,,7645
1994-01-02 22:48:00,1994-01-02 22:56:00,1994-01-02 23:03:00,M6.5,7645
1994-01-02 22:51:00,1994-01-02 22:54:00,1994-01-02 23:17:00,M6.5,7645
1994-01-02 23:17:00,1994-01-02 23:18:00,1994-01-02 23:25:00,,7645
1994-01-02 23:17:00,1994-01-02 23:18:00,1994-01-02 23:25:00,,7645
1994-01-03 04:36:00,1994-01-03 04:37:00,1994-01-03 04:40:00,,7646
1994-01-03 04:36:00,1994-01-03 04:37:00,1994-01-03 04:40:00,,7646
1994-01-03 10:35:00,1994-01-03 10:58:00,1994-01-03 11:09:00,,7648
1994-01-03 10:35:00,1994-01-03 10:58:00,1994-01-03 11:09:00,,7648
1994-01-03 16:20:00,1994-01-03 16:24:00,1994-01-03 16:28:00,B5.0,7648
1994-01-03 16:22:00,1994-01-03 16:26:00,1994-01-03 16:30:00,B5.0,7648
1994-01-03 16:36:00,1994-01-03 16:44:00,1994-01-03 16:47:00,,7648
1994-01-03 16:36:00,1994-01-03 16:44:00,1994-01-03 16:47:00,,7648
1994-01-03 17:56:00,1994-01-03 18:03:00,1994-01-03 18:06:00,B8.8,7648
1994-01-03 17:57:00,1994-01-03 17:58:00,1994-01-03 18:09:00,B8.8,7648
1994-01-03 19:29:00,1994-01-03 19:33:00,1994-01-03 19:40:00,,7648
1994-01-03 19:29:00,1994-01-03 19:33:00,1994-01-03 19:40:00,,7648
1994-01-03 19:42:00,1994-01-03 19:46:00,1994-01-03 19:48:00,C1.0,7648
