event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2018-01-05 11:16:00,2018-01-05 11:17:00,2018-01-05 11:18:00,A3.7,0
2018-01-07 04:24:00,2018-01-07 04:33:00,2018-01-07 04:38:00,A7.6,0
2018-01-12 13:08:00,2018-01-12 13:09:00,2018-01-12 13:10:00,B1.9,0
2018-01-18 07:28:00,2018-01-18 07:35:00,2018-01-18 07:39:00,B9.7,12696
2018-01-18 08:08:00,2018-01-18 08:13:00,2018-01-18 08:16:00,B4.0,12696
2018-01-18 09:51:00,2018-01-18 09:57:00,2018-01-18 10:06:00,B1.2,12696
2018-01-20 04:48:00,2018-01-20 04:55:00,2018-01-20 05:00:00,B1.7,12696
2018-01-20 17:42:00,2018-01-20 17:52:00,2018-01-20 17:58:00,A9.1,12696
2018-01-22 02:37:00,2018-01-22 02:57:00,2018-01-22 03:20:00,B9.5,12696
2018-01-28 18:39:00,2018-01-28 18:42:00,2018-01-28 18:44:00,A3.6,0
2018-01-30 17:35:00,2018-01-30 17:39:00,2018-01-30 17:46:00,B1.3,12697
2018-02-04 19:06:00,2018-02-04 19:22:00,2018-02-04 19:27:00,B6.4,12699
2018-02-04 19:46:00,2018-02-04 19:51:00,2018-02-04 19:55:00,B3.7,12699
2018-02-04 20:18:00,2018-02-04 20:24:00,2018-02-04 20:30:00,C1.1,12699
2018-02-04 20:46:00,2018-02-04 20:59:00,2018-02-04 21:07:00,B2.6,12699
2018-02-04 21:10:00,2018-02-04 21:15:00,2018-02-04 21:18:00,B7.1,12699
2018-02-04 22:28:00,2018-02-04 22:45:00,2018-02-04 22:52:00,B3.0,12699
2018-02-04 23:20:00,2018-02-04 23:25:00,2018-02-04 23:29:00,B3.1,12699
2018-02-05 01:17:00,2018-02-05 01:20:00,2018-02-05 01:29:00,B1.9,12699
2018-02-05 05:38:00,2018-02-05 05:41:00,2018-02-05 05:45:00,B2.0,12699
2018-02-05 08:09:00,2018-02-05 08:22:00,2018-02-05 08:27:00,B6.1,0
2018-02-05 10:37:00,2018-02-05 10:43:00,2018-02-05 10:50:00,B3.0,0
2018-02-05 11:27:00,2018-02-05 11:38:00,2018-02-05 11:44:00,B2.0,0
2018-02-05 15:22:00,2018-02-05 15:25:00,2018-02-05 15:27:00,B2.0,0
