event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2019-01-02 01:44:00,2019-01-02 01:50:00,2019-01-02 01:55:00,B2.8,12732
2019-01-02 18:32:00,2019-01-02 18:38:00,2019-01-02 18:44:00,B1.2,0
2019-01-03 16:40:00,2019-01-03 17:14:00,2019-01-03 17:33:00,B1.9,0
2019-01-04 11:04:00,2019-01-04 11:35:00,2019-01-04 11:46:00,B4.2,12732
2019-01-06 01:56:00,2019-01-06 02:01:00,2019-01-06 02:09:00,B3.1,12732
2019-01-06 03:35:00,2019-01-06 03:41:00,2019-01-06 03:47:00,B1.3,12732
2019-01-06 04:23:00,2019-01-06 04:52:00,2019-01-06 05:14:00,B2.1,12732
2019-01-06 05:32:00,2019-01-06 05:51:00,2019-01-06 06:01:00,B8.6,12732
2019-01-06 08:35:00,2019-01-06 08:40:00,2019-01-06 08:48:00,B1.4,12732
2019-01-06 10:31:00,2019-01-06 10:51:00,2019-01-06 11:00:00,C1.6,12732
2019-01-06 13:33:00,2019-01-06 13:37:00,2019-01-06 13:39:00,B1.6,12732
2019-01-07 10:19:00,2019-01-07 10:23:00,2019-01-07 10:26:00,B1.1,12732
2019-01-12 19:05:00,2019-01-12 19:06:00,2019-01-12 19:07:00,A1.1,0
2019-01-16 00:32:00,2019-01-16 00:34:00,2019-01-16 00:35:00,A8.8,0
2019-01-19 22:00:00,2019-01-19 22:01:00,2019-01-19 22:02:00,A1.1,0
2019-01-23 21:45:00,2019-01-23 21:49:00,2019-01-23 21:52:00,B1.2,12733
2019-01-24 18:55:00,2019-01-24 18:58:00,2019-01-24 19:00:00,B1.0,12733
2019-01-24 22:18:00,2019-01-24 22:22:00,2019-01-24 22:27:00,B1.2,12733
2019-01-25 01:06:00,2019-01-25 01:11:00,2019-01-25 01:16:00,B1.7,12733
2019-01-25 02:07:00,2019-01-25 02:24:00,2019-01-25 02:27:00,B1.4,12733
2019-01-25 04:05:00,2019-01-25 04:11:00,2019-01-25 04:23:00,B6.9,12733
2019-01-25 08:29:00,2019-01-25 08:35:00,2019-01-25 08:41:00,B2.3,12733
2019-01-25 16:03:00,2019-01-25 16:11:00,2019-01-25 16:22:00,B2.3,12733
2019-01-25 21:13:00,2019-01-25 21:27:00,2019-01-25 21:35:00,B4.6,12733
2019-01-26 03:34:00,2019-01-26 03:49:00,2019-01-26 03:54:00,B1.5,12733
2019-01-26 06:36:00,2019-01-26 06:47:00,2019-01-26 06:51:00,B2.2,12733
2019-01-26 07:52:00,2019-01-26 08:01:00,2019-01-26 08:07:00,B1.2,12733
2019-01-26 08:10:00,2019-01-26 08:13:00,2019-01-26 08:17:00,B1.3,12733
2019-01-26 13:12:00,2019-01-26 13:22:00,2019-01-26 13:34:00,C5.0,12733
2019-01-26 15:51:00,2019-01-26 15:55:00,2019-01-26 15:58:00,B2.9,0
2019-01-26 16:14:00,2019-01-26 16:28:00,2019-01-26 16:35:00,B8.6,12733
2019-01-26 18:49:00,2019-01-26 19:13:00,2019-01-26 19:20:00,B1.9,12733
2019-01-26 23:41:00,2019-01-26 23:44:00,2019-01-26 23:48:00,B1.1,12733
2019-01-28 01:00:00,2019-01-28 01:04:00,2019-01-28 01:08:00,B1.1,12733
2019-01-28 17:32:00,2019-01-28 17:37:00,2019-01-28 19:16:00,B1.2,12733
2019-01-28 19:48:00,2019-01-28 19:53:00,2019-01-28 19:58:00,B1.9,12733
2019-01-29 05:03:00,2019-01-29 05:07:00,2019-01-29 05:23:00,B2.4,12733
2019-01-29 06:36:00,2019-01-29 06:41:00,2019-01-29 06:45:00,B2.6,12733
