event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
1991-01-01 21:18:00,1991-01-01 21:25:00,1991-01-01 21:34:00,C2.5,6423
1991-01-02 16:15:00,1991-01-02 16:16:00,1991-01-02 16:36:00,C1.3,6432
1991-01-02 20:53:00,1991-01-02 20:56:00,1991-01-02 21:05:00,C1.3,6432
1991-01-03 00:45:00,1991-01-03 00:55:00,1991-01-03 01:31:00,C1.3,6432
1991-01-03 05:55:00,1991-01-03 06:11:00,1991-01-03 07:34:00,C1.6,6427
1991-01-03 15:14:00,1991-01-03 15:21:00,1991-01-03 15:38:00,C1.1,0
1991-01-03 19:00:00,1991-01-03 20:14:00,1991-01-03 20:31:00,C1.3,6432
1991-01-03 20:30:00,1991-01-03 20:30:00,1991-01-03 20:39:00,C1.4,6429
1991-01-04 01:58:00,1991-01-04 02:21:00,1991-01-04 02:53:00,C1.2,0
1991-01-04 04:31:00,1991-01-04 04:40:00,1991-01-04 05:26:00,C2.4,6431
1991-01-04 07:05:00,1991-01-04 07:07:00,1991-01-04 07:20:00,C4.1,6429
1991-01-04 07:35:00,1991-01-04 07:40:00,1991-01-04 08:01:00,C1.2,6431
1991-01-04 18:10:00,1991-01-04 18:13:00,1991-01-04 18:16:00,C2.0,0
1991-01-04 18:23:00,1991-01-04 18:29:00,1991-01-04 18:36:00,C1.6,0
1991-01-05 07:30:00,1991-01-05 07:51:00,1991-01-05 07:58:00,C1.4,0
1991-01-05 08:47:00,1991-01-05 09:07:00,1991-01-05 09:13:00,C1.4,0
1991-01-05 11:49:00,1991-01-05 12:02:00,1991-01-05 12:17:00,C2.5,0
1991-01-05 19:51:00,1991-01-05 19:59:00,1991-01-05 20:07:00,C2.8,6427
1991-01-05 23:25:00,1991-01-05 23:27:00,1991-01-05 23:41:00,C1.7,6427
1991-01-06 04:47:00,1991-01-06 04:48:00,1991-01-06 04:55:00,C2.6,6430
1991-01-06 06:02:00,1991-01-06 06:05:00,1991-01-06 06:08:00,C2.2,0
1991-01-06 09:11:00,1991-01-06 09:15:00,1991-01-06 09:17:00,C1.9,0
1991-01-06 09:56:00,1991-01-06 09:59:00,1991-01-06 10:02:00,C3.6,0
1991-01-06 11:34:00,1991-01-06 11:44:00,1991-01-06 11:46:00,C2.4,0
1991-01-06 15:03:00,1991-01-06 15:04:00,1991-01-06 15:08:00,C1.8,6430
1991-01-06 16:03:00,1991-01-06 16:11:00,1991-01-06 17:43:00,C5.7,0
1991-01-06 17:34:00,1991-01-06 17:35:00,1991-01-06 17:37:00,C2.6,0
1991-01-07 01:22:00,1991-01-07 01:23:00,1991-01-07 01:33:00,C2.7,6440
1991-01-07 02:29:00,1991-01-07 02:31:00,1991-01-07 02:43:00,C2.0,0
1991-01-07 03:21:00,1991-01-07 03:24:00,1991-01-07 03:27:00,C2.0,0
1991-01-07 05:04:00,1991-01-07 05:47:00,1991-01-07 06:10:00,C1.6,6442
1991-01-07 10:15:00,1991-01-07 10:54:00,1991-01-07 11:08:00,C3.2,0
1991-01-07 19:44:00,1991-01-07 19:52:00,1991-01-07 20:38:00,C3.0,6442
1991-01-07 20:16:00,1991-01-07 20:18:00,1991-01-07 20:20:00,C2.9,0
1991-01-07 21:24:00,1991-01-07 21:25:00,1991-01-07 21:44:00,C2.2,6442
1991-01-07 21:52:00,1991-01-07 21:55:00,1991-01-07 22:04:00,C2.3,6442
1991-01-07 22:10:00,1991-01-07 22:12:00,1991-01-07 22:19:00,C2.2,6442
1991-01-07 22:50:00,1991-01-07 22:52:00,1991-01-07 22:58:00,C2.9,6435
1991-01-07 23:34:00,1991-01-07 23:36:00,1991-01-07 23:46:00,C2.4,0
1991-01-08 02:11:00,1991-01-08 02:21:00,1991-01-08 02:32:00,C5.9,0
1991-01-08 04:09:00,1991-01-08 04:32:00,1991-01-08 06:23:00,M1.8,6442
1991-01-08 06:23:00,1991-01-08 06:58:00,1991-01-08 07:12:00,M1.1,6442
1991-01-08 11:24:00,1991-01-08 11:24:00,1991-01-08 11:59:00,M1.2,6442
1991-01-08 18:15:00,1991-01-08 18:48:00,1991-01-08 19:27:00,C7.5,0
1991-01-09 04:45:00,1991-01-09 04:47:00,1991-01-09 05:23:00,C4.5,6444
1991-01-09 06:30:00,1991-01-09 06:36:00,1991-01-09 06:41:00,C5.0,0
1991-01-09 08:06:00,1991-01-09 08:08:00,1991-01-09 08:39:00,C5.2,6442
1991-01-09 11:27:00,1991-01-09 11:41:00,1991-01-09 12:16:00,C5.3,0
1991-01-10 00:37:00,1991-01-10 00:45:00,1991-01-10 01:30:00,C6.2,6444
1991-01-10 03:13:00,1991-01-10 03:14:00,1991-01-10 03:20:00,C3.1,6444
1991-01-10 04:47:00,1991-01-10 04:47:00,1991-01-10 04:54:00,C6.8,6444
1991-01-10 05:10:00,1991-01-10 05:11:00,1991-01-10 05:36:00,M1.0,6444
1991-01-10 07:00:00,1991-01-10 07:04:00,1991-01-10 07:19:00,C3.6,0
1991-01-10 08:12:00,1991-01-10 08:15:00,1991-01-10 08:22:00,C4.3,0
1991-01-10 09:32:00,1991-01-10 09:34:00,1991-01-10 10:10:00,C5.2,6444
1991-01-10 14:09:00,1991-01-10 14:12:00,1991-01-10 14:23:00,C4.8,6444
