event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
1990-01-01 10:05:00,1990-01-01 10:08:00,1990-01-01 10:28:00,C3.6,5854
1990-01-01 13:06:00,1990-01-01 13:25:00,1990-01-01 13:40:00,C4.0,0
1990-01-01 15:13:00,1990-01-01 15:17:00,1990-01-01 15:29:00,C4.0,5854
1990-01-01 20:12:00,1990-01-01 20:18:00,1990-01-01 21:10:00,C4.5,5864
1990-01-01 21:19:00,1990-01-01 21:28:00,1990-01-01 21:49:00,M2.1,5854
1990-01-02 02:24:00,1990-01-02 02:25:00,1990-01-02 02:48:00,C5.9,5854
1990-01-02 02:50:00,1990-01-02 02:54:00,1990-01-02 03:17:00,C4.0,5858
1990-01-02 03:13:00,1990-01-03 00:00:00,1990-01-02 03:21:00,C5.7,5854
1990-01-02 04:41:00,1990-01-02 04:46:00,1990-01-02 04:49:00,C2.8,0
1990-01-02 12:01:00,1990-01-02 12:02:00,1990-01-02 12:55:00,C3.0,5854
1990-01-02 13:59:00,1990-01-02 14:14:00,1990-01-02 14:48:00,C4.4,5858
1990-01-02 14:57:00,1990-01-02 15:01:00,1990-01-02 15:04:00,C3.5,0
1990-01-02 18:59:00,1990-01-02 19:13:00,1990-01-02 19:24:00,C6.9,5854
1990-01-03 00:53:00,1990-01-03 01:03:00,1990-01-03 01:33:00,C2.8,5864
1990-01-03 04:28:00,1990-01-03 04:28:00,1990-01-03 04:42:00,C2.7,5854
1990-01-03 06:20:00,1990-01-03 06:25:00,1990-01-03 06:34:00,M1.3,5854
1990-01-03 15:23:00,1990-01-03 15:29:00,1990-01-03 16:19:00,C3.0,5867
1990-01-03 17:19:00,1990-01-03 17:37:00,1990-01-03 17:56:00,C2.9,5867
1990-01-03 20:02:00,1990-01-03 20:13:00,1990-01-03 20:28:00,C2.6,5867
1990-01-04 03:38:00,1990-01-04 03:56:00,1990-01-04 04:23:00,C4.3,0
1990-01-04 05:20:00,1990-01-04 05:30:00,1990-01-04 05:40:00,C4.9,0
1990-01-04 15:23:00,1990-01-04 15:31:00,1990-01-04 15:36:00,C2.1,0
