event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2014-01-01 06:45:00,2014-01-01 06:49:00,2014-01-01 06:52:00,C2.1,11944
2014-01-01 07:21:00,2014-01-01 07:26:00,2014-01-01 07:29:00,C3.2,11940
2014-01-01 15:40:00,2014-01-01 15:48:00,2014-01-01 16:09:00,C6.5,11944
2014-01-01 18:40:00,2014-01-01 18:52:00,2014-01-01 19:03:00,M9.9,11936
2014-01-02 02:24:00,2014-01-02 02:33:00,2014-01-02 02:56:00,M1.7,11944
2014-01-02 04:25:00,2014-01-02 04:29:00,2014-01-02 04:32:00,C5.3,11944
2014-01-02 07:43:00,2014-01-02 07:49:00,2014-01-02 07:51:00,C4.9,11944
2014-01-02 11:25:00,2014-01-02 12:26:00,2014-01-02 12:42:00,C9.5,11944
2014-01-02 20:30:00,2014-01-02 20:38:00,2014-01-02 20:55:00,C3.4,11944
2014-01-02 21:41:00,2014-01-02 21:46:00,2014-01-02 21:50:00,C3.1,11944
2014-01-02 22:12:00,2014-01-02 22:18:00,2014-01-02 22:22:00,M1.2,11944
2014-01-02 23:37:00,2014-01-02 23:43:00,2014-01-02 23:51:00,C2.5,11936
2014-01-03 02:48:00,2014-01-03 02:52:00,2014-01-03 02:55:00,C2.4,11944
2014-01-03 03:56:00,2014-01-03 04:01:00,2014-01-03 04:07:00,C4.6,11944
2014-01-03 06:29:00,2014-01-03 07:00:00,2014-01-03 07:18:00,C3.0,11944
2014-01-03 08:12:00,2014-01-03 08:18:00,2014-01-03 08:30:00,C3.6,11944
2014-01-03 10:07:00,2014-01-03 10:15:00,2014-01-03 10:19:00,C3.3,11944
2014-01-03 10:37:00,2014-01-03 10:42:00,2014-01-03 10:45:00,C5.9,11944
2014-01-03 11:40:00,2014-01-03 11:44:00,2014-01-03 11:49:00,C1.9,11944
2014-01-03 12:41:00,2014-01-03 12:50:00,2014-01-03 12:54:00,M1.0,11944
2014-01-03 15:05:00,2014-01-03 15:35:00,2014-01-03 16:05:00,C6.9,11944
2014-01-03 18:30:00,2014-01-03 18:35:00,2014-01-03 18:40:00,C4.0,11937
2014-01-03 21:09:00,2014-01-03 21:14:00,2014-01-03 21:19:00,M1.1,11944
