event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
1979-01-01 07:10:00,1979-01-01 07:10:00,1979-01-01 07:30:00,C2.0,1489
1979-01-01 08:57:00,1979-01-01 09:05:00,1979-01-01 09:06:00,C4.0,1487
1979-01-01 21:05:00,1979-01-01 21:08:00,1979-01-01 21:14:00,C2.0,1489
1979-01-02 18:25:00,1979-01-02 18:28:00,1979-01-02 18:35:00,C7.0,1493
1979-01-02 19:22:00,1979-01-02 19:45:00,1979-01-02 20:16:00,C3.0,1497
1979-01-02 20:57:00,1979-01-02 20:57:00,1979-01-02 21:03:00,C1.0,1487
1979-01-02 21:57:00,1979-01-02 21:59:00,1979-01-02 22:02:00,C3.0,1487
1979-01-02 22:43:00,1979-01-02 22:48:00,1979-01-02 22:53:00,C6.0,1493
1979-01-03 06:06:00,1979-01-03 06:08:00,1979-01-03 06:25:00,C6.0,1493
1979-01-03 07:49:00,1979-01-04 00:00:00,1979-01-03 07:55:00,C2.0,1487
1979-01-03 16:05:00,1979-01-03 16:08:00,1979-01-03 16:52:00,C4.0,1475
1979-01-03 17:20:00,1979-01-03 17:21:00,1979-01-03 17:31:00,C5.0,1487
1979-01-03 18:07:00,1979-01-03 18:10:00,1979-01-03 18:23:00,C3.0,1487
1979-01-03 19:02:00,1979-01-03 19:03:00,1979-01-03 19:05:00,C2.0,1487
1979-01-03 21:49:00,1979-01-03 21:52:00,1979-01-03 22:55:00,M1.0,1487
1979-01-04 01:08:00,1979-01-05 00:00:00,1979-01-04 01:19:00,C2.0,1487
1979-01-04 05:58:00,1979-01-05 00:00:00,1979-01-04 06:09:00,C1.0,1487
1979-01-04 19:51:00,1979-01-04 19:51:00,1979-01-04 19:57:00,C3.0,1490
1979-01-05 18:26:00,1979-01-05 18:51:00,1979-01-05 20:01:00,M1.0,1484
1979-01-05 20:32:00,1979-01-06 00:00:00,1979-01-05 20:37:00,C2.0,1496
1979-01-06 20:56:00,1979-01-06 20:56:00,1979-01-06 21:09:00,C2.0,1482
1979-01-07 11:59:00,1979-01-07 13:13:00,1979-01-07 13:14:00,C3.0,1498
1979-01-08 02:29:00,1979-01-08 02:34:00,1979-01-08 02:36:00,M3.0,1496
1979-01-09 03:43:00,1979-01-09 03:45:00,1979-01-09 03:55:00,C3.0,1494
1979-01-09 17:52:00,1979-01-09 17:53:00,1979-01-09 18:02:00,C2.0,1484
1979-01-09 19:06:00,1979-01-09 19:12:00,1979-01-09 19:17:00,C2.0,1494
1979-01-10 15:46:00,1979-01-10 15:46:00,1979-01-10 16:03:00,C1.0,1494
1979-01-10 16:15:00,1979-01-10 16:21:00,1979-01-10 16:49:00,C3.0,1494
1979-01-10 18:51:00,1979-01-10 18:51:00,1979-01-10 19:24:00,C2.0,1494
1979-01-10 20:58:00,1979-01-11 00:00:00,1979-01-10 21:23:00,C4.0,1496
1979-01-10 22:00:00,1979-01-10 22:02:00,1979-01-10 22:14:00,C4.0,1492
1979-01-11 01:02:00,1979-01-11 01:04:00,1979-01-11 01:18:00,C5.0,1507
1979-01-11 05:03:00,1979-01-12 00:00:00,1979-01-11 05:43:00,C2.0,1511
1979-01-11 07:42:00,1979-01-11 07:46:00,1979-01-11 08:00:00,M3.0,1492
1979-01-11 12:19:00,1979-01-11 12:39:00,1979-01-11 13:34:00,M1.0,1492
1979-01-11 14:29:00,1979-01-11 14:31:00,1979-01-11 14:55:00,C3.0,1502
1979-01-11 17:39:00,1979-01-11 17:42:00,1979-01-11 17:48:00,C3.0,1494
1979-01-11 18:41:00,1979-01-11 18:42:00,1979-01-11 19:18:00,C2.0,1502
1979-01-11 19:57:00,1979-01-11 19:57:00,1979-01-11 19:59:00,C1.0,1494
1979-01-12 00:25:00,1979-01-12 00:27:00,1979-01-12 00:45:00,M2.0,1492
1979-01-12 13:28:00,1979-01-12 13:30:00,1979-01-12 13:49:00,C3.0,1502
1979-01-12 18:41:00,1979-01-12 18:41:00,1979-01-12 18:46:00,C2.0,1492
1979-01-12 20:24:00,1979-01-12 20:27:00,1979-01-12 20:33:00,C1.0,1492
1979-01-12 21:54:00,1979-01-12 21:56:00,1979-01-12 22:04:00,C5.0,1492
1979-01-12 22:08:00,1979-01-12 22:11:00,1979-01-12 22:32:00,C5.0,1502
1979-01-13 07:11:00,1979-01-13 07:11:00,1979-01-13 07:15:00,M1.0,1502
1979-01-13 14:04:00,1979-01-13 14:05:00,1979-01-13 14:31:00,M1.0,1502
1979-01-13 15:34:00,1979-01-13 15:42:00,1979-01-13 15:55:00,C4.0,1502
1979-01-13 18:18:00,1979-01-13 18:19:00,1979-01-13 18:34:00,M1.0,1492
1979-01-13 22:36:00,1979-01-13 22:37:00,1979-01-13 23:06:00,M1.0,1492
1979-01-14 12:55:00,1979-01-14 12:58:00,1979-01-14 13:23:00,M2.0,1492
1979-01-14 14:44:00,1979-01-14 14:56:00,1979-01-14 15:02:00,C6.0,1502
1979-01-14 17:01:00,1979-01-14 17:02:00,1979-01-14 17:07:00,C4.0,1502
1979-01-15 01:35:00,1979-01-15 01:35:00,1979-01-15 01:50:00,C8.0,1492
1979-01-15 05:23:00,1979-01-15 05:27:00,1979-01-15 05:41:00,C4.0,1502
1979-01-15 07:35:00,1979-01-16 00:00:00,1979-01-15 07:47:00,M3.0,1502
1979-01-15 13:27:00,1979-01-15 13:40:00,1979-01-15 13:42:00,M2.0,1492
1979-01-15 13:49:00,1979-01-15 13:55:00,1979-01-15 14:25:00,C6.0,1502
1979-01-15 15:30:00,1979-01-15 15:32:00,1979-01-15 15:38:00,C2.0,1492
1979-01-15 20:08:00,1979-01-15 20:10:00,1979-01-15 20:55:00,M1.0,1502
1979-01-16 06:29:00,1979-01-17 00:00:00,1979-01-16 06:37:00,C4.0,1502
1979-01-16 07:38:00,1979-01-16 07:41:00,1979-01-16 07:55:00,M2.0,1502
1979-01-16 14:00:00,1979-01-16 14:02:00,1979-01-16 14:09:00,C2.0,1519
1979-01-16 17:50:00,1979-01-16 17:58:00,1979-01-16 18:22:00,C3.0,1507
1979-01-16 18:43:00,1979-01-16 18:43:00,1979-01-16 18:57:00,C4.0,1515
1979-01-16 18:55:00,1979-01-16 18:56:00,1979-01-16 19:07:00,C9.0,1502
1979-01-16 22:17:00,1979-01-16 22:46:00,1979-01-16 23:14:00,C8.0,1502
1979-01-17 01:34:00,1979-01-17 01:35:00,1979-01-17 01:40:00,C2.0,1502
1979-01-17 02:33:00,1979-01-17 02:34:00,1979-01-17 02:36:00,C2.0,1502
1979-01-17 14:27:00,1979-01-17 14:28:00,1979-01-17 14:40:00,C2.0,1520
1979-01-17 15:27:00,1979-01-17 15:27:00,1979-01-17 16:18:00,C2.0,1502
1979-01-17 16:17:00,1979-01-17 16:17:00,1979-01-17 16:36:00,C2.0,1519
1979-01-18 13:43:00,1979-01-18 13:54:00,1979-01-18 14:07:00,C7.0,1520
1979-01-18 14:16:00,1979-01-18 14:18:00,1979-01-18 14:22:00,C8.0,1502
1979-01-18 15:17:00,1979-01-18 15:27:00,1979-01-18 16:41:00,C6.0,1520
1979-01-18 17:59:00,1979-01-18 18:13:00,1979-01-18 18:25:00,C4.0,1520
1979-01-18 18:51:00,1979-01-18 18:51:00,1979-01-18 18:57:00,C4.0,1523
1979-01-19 02:26:00,1979-01-19 02:29:00,1979-01-19 02:38:00,C2.0,1519
1979-01-19 02:39:00,1979-01-19 02:40:00,1979-01-19 02:47:00,C2.0,1525
1979-01-19 04:33:00,1979-01-20 00:00:00,1979-01-19 04:36:00,M1.0,1523
1979-01-19 06:40:00,1979-01-19 06:44:00,1979-01-19 06:50:00,C8.0,1523
1979-01-19 12:17:00,1979-01-19 12:17:00,1979-01-19 12:23:00,C2.0,1519
1979-01-19 12:57:00,1979-01-19 12:58:00,1979-01-19 13:08:00,C3.0,1525
1979-01-19 15:56:00,1979-01-19 15:57:00,1979-01-19 16:20:00,C4.0,1519
1979-01-19 22:31:00,1979-01-19 22:41:00,1979-01-19 23:44:00,M1.0,1519
1979-01-21 12:35:00,1979-01-21 12:37:00,1979-01-21 13:00:00,C3.0,1519
1979-01-21 13:12:00,1979-01-21 13:14:00,1979-01-21 13:32:00,M5.0,1507
1979-01-21 15:11:00,1979-01-21 15:14:00,1979-01-21 15:35:00,C8.0,1519
1979-01-21 15:54:00,1979-01-21 16:00:00,1979-01-21 16:07:00,C3.0,1519
1979-01-21 17:31:00,1979-01-21 17:31:00,1979-01-21 18:17:00,C2.0,1519
1979-01-22 00:44:00,1979-01-22 00:44:00,1979-01-22 01:00:00,C4.0,1528
1979-01-22 01:44:00,1979-01-22 01:44:00,1979-01-22 01:57:00,C3.0,1529
1979-01-22 01:52:00,1979-01-23 00:00:00,1979-01-22 01:57:00,C2.0,1528
1979-01-22 07:49:00,1979-01-23 00:00:00,1979-01-22 07:53:00,C2.0,1525
1979-01-22 10:00:00,1979-01-22 10:17:00,1979-01-22 10:58:00,C9.0,0
1979-01-22 14:09:00,1979-01-22 14:13:00,1979-01-22 14:25:00,C3.0,1527
1979-01-22 15:08:00,1979-01-22 15:12:00,1979-01-22 15:18:00,C6.0,1533
1979-01-22 16:33:00,1979-01-22 16:37:00,1979-01-22 17:15:00,C3.0,1527
1979-01-22 17:56:00,1979-01-22 17:57:00,1979-01-22 18:05:00,C2.0,1519
1979-01-22 18:22:00,1979-01-22 18:24:00,1979-01-22 18:43:00,C5.0,1519
1979-01-23 01:33:00,1979-01-23 01:35:00,1979-01-23 01:51:00,C2.0,1519
1979-01-23 01:35:00,1979-01-23 01:36:00,1979-01-23 01:38:00,C2.0,1519
1979-01-23 06:39:00,1979-01-23 06:40:00,1979-01-23 06:47:00,C5.0,1525
1979-01-23 15:37:00,1979-01-23 15:40:00,1979-01-23 15:57:00,C4.0,1536
1979-01-23 20:05:00,1979-01-23 20:09:00,1979-01-23 20:16:00,C6.0,1528
1979-01-23 20:32:00,1979-01-23 20:34:00,1979-01-23 20:43:00,C2.0,1522
1979-01-23 22:12:00,1979-01-23 22:12:00,1979-01-23 22:15:00,C2.0,1525
1979-01-24 01:37:00,1979-01-24 01:48:00,1979-01-24 02:06:00,C5.0,1525
1979-01-24 08:18:00,1979-01-24 08:18:00,1979-01-24 08:31:00,C7.0,1532
1979-01-24 12:49:00,1979-01-24 12:49:00,1979-01-24 13:15:00,M3.0,1525
1979-01-24 19:12:00,1979-01-24 19:14:00,1979-01-24 19:28:00,C3.0,1532
1979-01-24 20:01:00,1979-01-24 20:05:00,1979-01-24 20:19:00,C4.0,1522
1979-01-24 22:53:00,1979-01-24 22:56:00,1979-01-24 23:01:00,C4.0,1532
1979-01-25 03:15:00,1979-01-25 03:36:00,1979-01-25 03:56:00,M1.0,1532
1979-01-25 06:36:00,1979-01-25 06:38:00,1979-01-25 06:43:00,C8.0,1532
1979-01-25 11:54:00,1979-01-25 11:56:00,1979-01-25 12:25:00,C3.0,1533
1979-01-25 14:17:00,1979-01-25 14:18:00,1979-01-25 15:01:00,M1.0,1533
1979-01-25 20:10:00,1979-01-25 20:22:00,1979-01-25 21:29:00,C3.0,1532
1979-01-25 23:15:00,1979-01-25 23:15:00,1979-01-25 23:52:00,C2.0,1532
1979-01-26 03:22:00,1979-01-27 00:00:00,1979-01-26 03:32:00,C1.0,1532
1979-01-26 05:00:00,1979-01-26 05:03:00,1979-01-26 05:12:00,C2.0,1532
1979-01-26 05:49:00,1979-01-26 05:54:00,1979-01-26 06:11:00,C5.0,1532
1979-01-26 11:43:00,1979-01-26 11:44:00,1979-01-26 11:55:00,C8.0,1532
1979-01-26 17:54:00,1979-01-26 17:55:00,1979-01-26 18:12:00,C2.0,1528
1979-01-26 20:25:00,1979-01-26 20:32:00,1979-01-26 22:20:00,C4.0,1532
1979-01-27 08:33:00,1979-01-27 08:35:00,1979-01-27 08:50:00,C6.0,1528
1979-01-27 18:48:00,1979-01-27 18:49:00,1979-01-27 19:05:00,C8.0,1525
1979-01-27 22:30:00,1979-01-27 22:40:00,1979-01-27 23:30:00,C4.0,1528
1979-01-28 13:04:00,1979-01-28 13:09:00,1979-01-28 14:05:00,M3.0,1525
1979-01-28 14:20:00,1979-01-28 14:22:00,1979-01-28 14:28:00,C6.0,1545
1979-01-28 14:27:00,1979-01-28 14:42:00,1979-01-28 14:56:00,M1.0,1527
1979-01-28 17:33:00,1979-01-28 17:37:00,1979-01-28 18:02:00,C6.0,1532
