event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2014-12-31 23:02:00,2014-12-31 23:39:00,2015-01-01 00:17:00,C1.2,12253
2015-01-01 04:57:00,2015-01-01 05:07:00,2015-01-01 05:17:00,C2.1,12253
2015-01-01 07:22:00,2015-01-01 07:30:00,2015-01-01 07:38:00,C2.1,12253
2015-01-01 19:03:00,2015-01-01 19:05:00,2015-01-01 19:07:00,C1.8,12253
2015-01-02 04:33:00,2015-01-02 04:36:00,2015-01-02 04:38:00,B7.0,12253
2015-01-02 09:50:00,2015-01-02 09:53:00,2015-01-02 09:55:00,B9.3,12253
2015-01-02 14:05:00,2015-01-02 14:08:00,2015-01-02 14:11:00,B9.7,12253
2015-01-02 14:12:00,2015-01-02 14:15:00,2015-01-02 14:17:00,C1.0,12253
2015-01-02 19:35:00,2015-01-02 19:38:00,2015-01-02 19:39:00,C1.1,12248
2015-01-02 19:47:00,2015-01-02 19:48:00,2015-01-02 19:49:00,C1.2,12256
2015-01-03 01:13:00,2015-01-03 01:17:00,2015-01-03 01:21:00,C1.7,12253
2015-01-03 05:52:00,2015-01-03 05:57:00,2015-01-03 06:00:00,C1.1,12253
2015-01-03 06:01:00,2015-01-03 06:04:00,2015-01-03 06:06:00,C2.9,0
2015-01-03 06:13:00,2015-01-03 06:17:00,2015-01-03 06:20:00,C4.6,12253
2015-01-03 06:43:00,2015-01-03 06:49:00,2015-01-03 06:53:00,C3.8,12253
2015-01-03 07:05:00,2015-01-03 07:15:00,2015-01-03 07:28:00,C2.4,12253
2015-01-03 09:40:00,2015-01-03 09:47:00,2015-01-03 09:50:00,M1.1,12253
2015-01-03 10:28:00,2015-01-03 10:39:00,2015-01-03 10:44:00,C1.7,12253
2015-01-03 13:37:00,2015-01-03 14:13:00,2015-01-03 14:26:00,C1.8,12253
2015-01-03 21:26:00,2015-01-03 22:23:00,2015-01-03 22:42:00,C1.3,12253
2015-01-03 23:05:00,2015-01-03 23:22:00,2015-01-03 23:39:00,C1.0,12253
2015-01-04 00:05:00,2015-01-04 00:09:00,2015-01-04 00:12:00,C1.1,12253
2015-01-04 00:32:00,2015-01-04 00:53:00,2015-01-04 01:28:00,C1.5,12253
2015-01-04 04:16:00,2015-01-04 04:52:00,2015-01-04 05:20:00,C2.1,12253
2015-01-04 15:18:00,2015-01-04 15:36:00,2015-01-04 15:53:00,M1.3,12253
2015-01-04 21:21:00,2015-01-04 21:26:00,2015-01-04 21:35:00,C1.1,12253
2015-01-04 23:41:00,2015-01-04 23:45:00,2015-01-04 23:48:00,C1.9,0
2015-01-05 02:04:00,2015-01-05 02:09:00,2015-01-05 02:11:00,C2.0,12253
2015-01-05 08:19:00,2015-01-05 08:22:00,2015-01-05 08:25:00,C3.5,12253
2015-01-05 14:52:00,2015-01-05 14:59:00,2015-01-05 15:17:00,C3.9,0
2015-01-05 17:34:00,2015-01-05 17:47:00,2015-01-05 18:04:00,C7.4,12253
2015-01-05 22:03:00,2015-01-05 22:13:00,2015-01-05 22:20:00,C4.1,12253
2015-01-05 23:07:00,2015-01-05 23:20:00,2015-01-05 23:36:00,C4.4,12251
2015-01-06 05:16:00,2015-01-06 05:31:00,2015-01-06 05:58:00,C6.0,12253
2015-01-06 09:34:00,2015-01-06 09:43:00,2015-01-06 09:51:00,C2.2,12253
2015-01-06 11:40:00,2015-01-06 11:48:00,2015-01-06 11:53:00,C9.7,0
2015-01-06 13:25:00,2015-01-06 13:30:00,2015-01-06 13:36:00,C1.4,12257
2015-01-06 17:10:00,2015-01-06 17:14:00,2015-01-06 17:18:00,C1.7,12253
2015-01-06 21:58:00,2015-01-06 22:04:00,2015-01-06 22:11:00,C1.9,0
2015-01-07 03:06:00,2015-01-07 03:12:00,2015-01-07 03:30:00,C1.2,12253
2015-01-07 05:59:00,2015-01-07 06:06:00,2015-01-07 06:12:00,C1.8,0
2015-01-07 09:58:00,2015-01-07 10:06:00,2015-01-07 10:16:00,C1.2,0
2015-01-07 10:30:00,2015-01-07 10:36:00,2015-01-07 10:40:00,C1.3,0
2015-01-07 11:43:00,2015-01-07 11:51:00,2015-01-07 12:01:00,C4.3,12253
2015-01-07 14:55:00,2015-01-07 15:00:00,2015-01-07 15:07:00,C2.1,0
2015-01-08 00:20:00,2015-01-08 00:24:00,2015-01-08 00:26:00,C1.6,12259
2015-01-08 04:11:00,2015-01-08 04:16:00,2015-01-08 04:20:00,C1.3,12251
2015-01-08 04:25:00,2015-01-08 04:34:00,2015-01-08 04:39:00,C4.2,12253
