event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
1988-01-01 05:58:00,1988-01-01 06:04:00,1988-01-01 06:16:00,B8.4,4912
1988-01-01 09:03:00,1988-01-01 09:19:00,1988-01-01 09:36:00,C1.1,4912
1988-01-01 09:40:00,1988-01-01 10:55:00,1988-01-01 13:00:00,C2.0,4912
1988-01-02 21:11:00,1988-01-02 21:35:00,1988-01-03 00:09:00,X1.4,4912
1988-01-03 12:13:00,1988-01-03 12:20:00,1988-01-03 12:27:00,C1.4,0
1988-01-03 20:52:00,1988-01-03 20:57:00,1988-01-03 21:03:00,B6.1,0
1988-01-03 23:13:00,1988-01-03 23:20:00,1988-01-03 23:23:00,C1.6,0
1988-01-04 01:46:00,1988-01-04 01:52:00,1988-01-04 01:54:00,B8.6,0
1988-01-04 15:57:00,1988-01-04 16:02:00,1988-01-04 16:07:00,B8.2,0
1988-01-04 21:48:00,1988-01-04 21:50:00,1988-01-04 21:57:00,B3.9,4919
1988-01-05 00:05:00,1988-01-05 00:11:00,1988-01-05 00:24:00,B3.8,0
1988-01-05 01:40:00,1988-01-05 01:45:00,1988-01-05 01:55:00,B4.1,0
1988-01-05 04:39:00,1988-01-05 04:44:00,1988-01-05 04:50:00,B3.6,0
1988-01-05 19:36:00,1988-01-05 19:40:00,1988-01-05 20:15:00,B4.2,0
1988-01-06 09:09:00,1988-01-06 09:20:00,1988-01-06 09:41:00,C1.7,4919
1988-01-06 11:35:00,1988-01-06 11:44:00,1988-01-06 11:52:00,C1.2,4919
1988-01-06 20:09:00,1988-01-06 20:12:00,1988-01-06 20:35:00,B9.5,4919
1988-01-07 11:51:00,1988-01-07 11:55:00,1988-01-07 11:59:00,B5.0,0
1988-01-07 17:12:00,1988-01-07 17:15:00,1988-01-07 17:17:00,B4.5,4919
1988-01-07 17:17:00,1988-01-07 17:38:00,1988-01-07 17:50:00,C2.9,4919
1988-01-07 17:47:00,1988-01-07 17:49:00,1988-01-07 17:55:00,C1.1,4921
1988-01-07 19:00:00,1988-01-07 19:03:00,1988-01-07 19:05:00,B4.8,0
