event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
1975-09-01 19:33:00,1975-09-01 19:35:00,1975-09-01 19:45:00,C0.0,633
1975-09-02 09:25:00,1975-09-02 09:25:00,1975-09-02 09:38:00,C0.0,633
1975-09-03 21:15:00,1975-09-03 21:15:00,1975-09-03 21:15:00,C0.0,633
1975-09-04 13:02:00,1975-09-04 13:19:00,1975-09-04 13:46:00,C0.0,635
1975-09-08 02:01:00,1975-09-08 02:05:00,1975-09-08 02:21:00,C0.0,633
1975-09-09 01:45:00,1975-09-10 00:00:00,1975-09-09 01:50:00,C0.0,644
1975-09-10 14:16:00,1975-09-10 14:21:00,1975-09-10 14:34:00,C0.0,633
1975-09-11 20:17:00,1975-09-11 20:18:00,1975-09-11 20:19:00,C0.0,644
1975-09-18 13:51:00,1975-09-18 13:53:00,1975-09-18 14:15:00,C0.0,649
1975-09-19 17:05:00,1975-09-19 17:10:00,1975-09-19 17:32:00,C0.0,649
1975-10-08 23:41:00,1975-10-08 23:42:00,1975-10-08 23:52:00,C0.0,657
1975-10-09 08:43:00,1975-10-09 08:48:00,1975-10-09 08:55:00,C0.0,657
1975-10-09 16:18:00,1975-10-09 16:26:00,1975-10-09 16:39:00,C0.0,657
1975-11-04 20:50:00,1975-11-04 20:50:00,1975-11-04 21:06:00,C0.0,664
1975-11-05 17:43:00,1975-11-05 17:44:00,1975-11-05 18:19:00,C0.0,664
1975-11-05 18:35:00,1975-11-05 18:59:00,1975-11-05 19:22:00,C5.0,664
1975-11-05 20:50:00,1975-11-05 20:50:00,1975-11-05 21:06:00,C0.0,664
1975-11-06 01:17:00,1975-11-06 01:19:00,1975-11-06 01:26:00,C6.0,664
1975-11-06 06:28:00,1975-11-06 06:29:00,1975-11-06 06:40:00,C3.0,664
1975-11-06 09:22:00,1975-11-06 09:24:00,1975-11-06 09:32:00,C4.0,664
1975-11-06 11:57:00,1975-11-06 12:07:00,1975-11-06 12:18:00,C2.0,664
1975-11-06 17:08:00,1975-11-06 17:14:00,1975-11-06 17:25:00,C0.0,664
1975-11-10 08:42:00,1975-11-10 08:42:00,1975-11-10 08:46:00,C1.0,664
1975-11-10 11:29:00,1975-11-10 11:33:00,1975-11-10 11:41:00,C2.0,664
1975-11-10 14:28:00,1975-11-10 14:33:00,1975-11-10 14:47:00,C0.0,664
1975-11-11 01:11:00,1975-11-11 01:16:00,1975-11-11 01:24:00,C0.0,664
1975-11-14 04:16:00,1975-11-14 04:16:00,1975-11-14 04:27:00,C7.0,667
1975-11-14 11:41:00,1975-11-14 11:51:00,1975-11-14 11:59:00,C0.0,666
1975-11-15 11:43:00,1975-11-15 11:45:00,1975-11-15 12:19:00,C4.0,667
1975-11-15 18:47:00,1975-11-15 19:08:00,1975-11-15 20:22:00,C4.0,667
1975-11-15 23:09:00,1975-11-15 23:11:00,1975-11-15 23:21:00,C2.0,667
1975-11-16 01:29:00,1975-11-16 01:32:00,1975-11-16 01:53:00,C0.0,667
1975-11-16 02:08:00,1975-11-16 02:10:00,1975-11-16 02:29:00,C2.0,667
1975-11-16 05:40:00,1975-11-16 05:51:00,1975-11-16 06:17:00,M1.0,667
1975-11-16 11:12:00,1975-11-16 11:17:00,1975-11-16 11:21:00,C4.0,667
1975-11-16 20:07:00,1975-11-16 20:17:00,1975-11-16 20:24:00,C3.0,667
1975-11-16 21:38:00,1975-11-16 21:40:00,1975-11-16 22:08:00,C3.0,0
1975-11-17 11:45:00,1975-11-17 11:55:00,1975-11-17 12:45:00,C7.0,667
1975-11-18 07:52:00,1975-11-18 07:54:00,1975-11-18 07:57:00,C2.0,667
1975-11-18 10:37:00,1975-11-18 10:41:00,1975-11-18 10:58:00,C2.0,666
1975-11-18 13:23:00,1975-11-18 13:33:00,1975-11-18 13:52:00,C2.0,667
1975-11-18 19:08:00,1975-11-18 19:26:00,1975-11-18 20:21:00,C6.0,667
1975-11-19 03:28:00,1975-11-19 03:32:00,1975-11-19 03:50:00,C2.0,667
1975-11-19 04:51:00,1975-11-19 04:51:00,1975-11-19 05:03:00,C0.0,666
1975-11-19 07:24:00,1975-11-19 07:24:00,1975-11-19 07:41:00,C2.0,667
1975-11-21 06:10:00,1975-11-21 06:17:00,1975-11-21 07:20:00,M2.0,667
1975-12-06 17:43:00,1975-12-06 17:46:00,1975-12-06 17:47:00,C0.0,668
1975-12-07 01:11:00,1975-12-07 01:16:00,1975-12-07 01:25:00,C0.0,668
1975-12-07 06:08:00,1975-12-07 06:09:00,1975-12-07 06:14:00,C0.0,668
1975-12-08 14:18:00,1975-12-08 14:19:00,1975-12-08 14:23:00,C1.0,668
