event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2013-01-01 00:58:00,2013-01-01 01:03:00,2013-01-01 01:11:00,B7.8,0
2013-01-01 08:47:00,2013-01-01 09:06:00,2013-01-01 09:13:00,C1.2,11640
2013-01-01 14:26:00,2013-01-01 14:38:00,2013-01-01 14:56:00,B5.2,0
2013-01-01 15:53:00,2013-01-01 15:58:00,2013-01-01 16:07:00,B6.2,11640
2013-01-01 22:52:00,2013-01-01 22:58:00,2013-01-01 23:01:00,B4.7,11640
2013-01-02 09:21:00,2013-01-02 09:25:00,2013-01-02 09:34:00,B5.6,11643
2013-01-02 21:08:00,2013-01-02 21:09:00,2013-01-02 21:11:00,B4.2,0
2013-01-03 04:08:00,2013-01-03 04:15:00,2013-01-03 04:29:00,B5.7,11640
2013-01-03 19:16:00,2013-01-03 19:27:00,2013-01-03 19:38:00,B7.9,11644
2013-01-03 21:01:00,2013-01-03 21:08:00,2013-01-03 21:17:00,B9.4,11640
2013-01-03 21:27:00,2013-01-03 21:38:00,2013-01-03 21:45:00,C1.7,11640
2013-01-04 00:45:00,2013-01-04 00:53:00,2013-01-04 01:09:00,C1.2,11640
2013-01-04 02:06:00,2013-01-04 02:12:00,2013-01-04 02:17:00,B8.2,11640
2013-01-04 08:22:00,2013-01-04 09:18:00,2013-01-04 10:34:00,C1.3,11639
2013-01-04 13:03:00,2013-01-04 13:08:00,2013-01-04 13:15:00,C1.2,11650
2013-01-04 23:46:00,2013-01-05 00:18:00,2013-01-05 01:19:00,C2.3,11652
2013-01-05 03:24:00,2013-01-05 03:28:00,2013-01-05 03:32:00,C1.5,11650
2013-01-05 03:50:00,2013-01-05 03:54:00,2013-01-05 03:57:00,C1.6,11650
2013-01-05 04:29:00,2013-01-05 04:49:00,2013-01-05 04:52:00,C2.9,11650
2013-01-05 05:56:00,2013-01-05 06:03:00,2013-01-05 06:10:00,C1.5,11652
2013-01-05 08:08:00,2013-01-05 08:11:00,2013-01-05 08:14:00,C1.4,11650
2013-01-05 09:26:00,2013-01-05 09:31:00,2013-01-05 09:34:00,M1.7,11652
2013-01-05 16:19:00,2013-01-05 16:22:00,2013-01-05 16:24:00,C1.3,11645
2013-01-05 21:31:00,2013-01-05 21:39:00,2013-01-05 21:49:00,C2.1,11653
2013-01-06 02:57:00,2013-01-06 03:03:00,2013-01-06 03:09:00,C3.0,11653
2013-01-06 09:15:00,2013-01-06 09:50:00,2013-01-06 10:12:00,C1.9,11653
2013-01-06 11:22:00,2013-01-06 11:27:00,2013-01-06 11:32:00,C1.2,11653
2013-01-06 12:44:00,2013-01-06 12:54:00,2013-01-06 13:01:00,C1.7,11652
2013-01-06 16:58:00,2013-01-06 17:03:00,2013-01-06 17:12:00,C1.2,11653
2013-01-06 22:34:00,2013-01-06 22:41:00,2013-01-06 22:50:00,B9.1,11653
2013-01-07 00:45:00,2013-01-07 01:02:00,2013-01-07 01:10:00,C1.1,11645
