event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2012-01-01 04:45:00,2012-01-01 04:50:00,2012-01-01 04:57:00,B8.1,0
2012-01-01 07:24:00,2012-01-01 07:34:00,2012-01-01 07:44:00,C3.2,11389
2012-01-01 13:22:00,2012-01-01 13:26:00,2012-01-01 13:33:00,B8.0,0
2012-01-01 18:54:00,2012-01-01 18:59:00,2012-01-01 19:06:00,B8.9,0
2012-01-01 23:28:00,2012-01-01 23:36:00,2012-01-01 23:46:00,C1.3,0
2012-01-02 02:55:00,2012-01-02 03:00:00,2012-01-02 03:07:00,B7.6,0
2012-01-02 05:23:00,2012-01-02 05:28:00,2012-01-02 05:34:00,C1.6,11389
2012-01-02 07:05:00,2012-01-02 07:24:00,2012-01-02 07:32:00,C1.5,11389
2012-01-02 07:56:00,2012-01-02 08:02:00,2012-01-02 08:09:00,B8.4,0
2012-01-02 09:27:00,2012-01-02 09:30:00,2012-01-02 09:32:00,B6.1,11389
2012-01-02 11:11:00,2012-01-02 11:18:00,2012-01-02 11:26:00,B8.2,0
2012-01-02 14:31:00,2012-01-02 15:24:00,2012-01-02 16:04:00,C2.4,0
2012-01-03 03:31:00,2012-01-03 03:34:00,2012-01-03 03:38:00,B6.7,11389
2012-01-03 04:14:00,2012-01-03 04:19:00,2012-01-03 04:27:00,B8.0,11391
2012-01-03 20:50:00,2012-01-03 20:53:00,2012-01-03 20:55:00,B7.7,11389
2012-01-04 02:19:00,2012-01-04 02:22:00,2012-01-04 02:26:00,B6.4,11390
2012-01-04 08:57:00,2012-01-04 09:02:00,2012-01-04 09:05:00,C1.5,11392
2012-01-04 10:59:00,2012-01-04 11:06:00,2012-01-04 11:14:00,C1.3,11386
2012-01-05 07:01:00,2012-01-05 07:22:00,2012-01-05 07:43:00,C1.9,11390
2012-01-05 11:51:00,2012-01-05 12:38:00,2012-01-05 13:00:00,C2.1,11392
2012-01-06 06:04:00,2012-01-06 06:08:00,2012-01-06 06:11:00,C1.4,11389
2012-01-06 11:14:00,2012-01-06 11:25:00,2012-01-06 11:35:00,C2.2,11392
2012-01-06 17:03:00,2012-01-06 17:06:00,2012-01-06 17:09:00,B6.8,0
2012-01-06 17:16:00,2012-01-06 17:19:00,2012-01-06 17:22:00,C1.4,11390
2012-01-06 23:54:00,2012-01-07 00:09:00,2012-01-07 00:23:00,C2.6,11392
2012-01-07 02:20:00,2012-01-07 02:30:00,2012-01-07 02:38:00,C1.1,0
2012-01-07 04:39:00,2012-01-07 04:53:00,2012-01-07 05:07:00,C1.6,0
2012-01-07 10:39:00,2012-01-07 10:42:00,2012-01-07 10:47:00,B9.9,11390
2012-01-08 02:09:00,2012-01-08 02:27:00,2012-01-08 02:46:00,C4.9,0
2012-01-08 03:21:00,2012-01-08 03:25:00,2012-01-08 03:29:00,C2.9,11393
2012-01-08 04:33:00,2012-01-08 04:38:00,2012-01-08 04:49:00,C1.2,0
2012-01-08 06:08:00,2012-01-08 06:13:00,2012-01-08 06:16:00,C1.9,11393
2012-01-08 13:13:00,2012-01-08 13:19:00,2012-01-08 13:25:00,C1.8,11389
2012-01-08 14:56:00,2012-01-08 15:00:00,2012-01-08 15:02:00,C1.3,11389
2012-01-08 17:20:00,2012-01-08 17:26:00,2012-01-08 17:33:00,C1.4,11389
2012-01-08 19:14:00,2012-01-08 19:18:00,2012-01-08 19:26:00,B9.2,11393
2012-01-08 20:17:00,2012-01-08 20:22:00,2012-01-08 20:38:00,B7.6,0
2012-01-09 10:31:00,2012-01-09 10:42:00,2012-01-09 10:47:00,C1.1,11393
2012-01-09 14:51:00,2012-01-09 14:56:00,2012-01-09 14:58:00,C1.4,11391
2012-01-09 17:15:00,2012-01-09 17:18:00,2012-01-09 17:21:00,C1.3,11391
2012-01-09 20:01:00,2012-01-09 20:13:00,2012-01-09 20:28:00,C2.6,11395
2012-01-10 01:49:00,2012-01-10 01:53:00,2012-01-10 01:56:00,C1.0,11393
2012-01-10 04:14:00,2012-01-10 04:18:00,2012-01-10 04:24:00,B7.1,11391
2012-01-10 22:34:00,2012-01-10 23:01:00,2012-01-10 23:12:00,C1.7,11391
2012-01-11 00:01:00,2012-01-11 00:11:00,2012-01-11 00:23:00,C2.2,11393
2012-01-11 01:40:00,2012-01-11 01:47:00,2012-01-11 01:55:00,C1.6,11395
2012-01-11 04:31:00,2012-01-11 04:46:00,2012-01-11 05:09:00,C3.7,11393
2012-01-11 11:04:00,2012-01-11 11:12:00,2012-01-11 11:19:00,C1.6,11395
2012-01-11 13:06:00,2012-01-11 13:11:00,2012-01-11 13:29:00,B7.6,11393
2012-01-11 20:45:00,2012-01-11 20:50:00,2012-01-11 20:54:00,C1.2,11393
2012-01-12 00:49:00,2012-01-12 00:58:00,2012-01-12 01:06:00,C1.5,11395
2012-01-12 02:12:00,2012-01-12 02:20:00,2012-01-12 02:28:00,B8.9,11393
2012-01-12 04:19:00,2012-01-12 04:23:00,2012-01-12 04:27:00,B9.0,11393
2012-01-12 07:54:00,2012-01-12 10:01:00,2012-01-12 12:16:00,C2.5,0
2012-01-12 13:11:00,2012-01-12 13:23:00,2012-01-12 13:33:00,C3.3,11393
2012-01-13 06:01:00,2012-01-13 06:05:00,2012-01-13 06:08:00,C2.2,11391
2012-01-13 09:19:00,2012-01-13 09:23:00,2012-01-13 09:26:00,B8.2,0
2012-01-14 03:19:00,2012-01-14 03:35:00,2012-01-14 04:03:00,C2.1,11396
2012-01-14 12:00:00,2012-01-14 12:09:00,2012-01-14 12:20:00,C4.1,11401
2012-01-14 13:14:00,2012-01-14 13:18:00,2012-01-14 13:20:00,M1.4,11401
2012-01-14 18:35:00,2012-01-14 18:40:00,2012-01-14 18:43:00,C2.8,11401
2012-01-14 21:41:00,2012-01-14 21:54:00,2012-01-14 22:10:00,C2.1,11401
2012-01-14 23:21:00,2012-01-14 23:25:00,2012-01-14 23:30:00,C1.1,11401
2012-01-15 01:23:00,2012-01-15 01:30:00,2012-01-15 01:38:00,C1.5,0
2012-01-15 02:06:00,2012-01-15 02:09:00,2012-01-15 02:13:00,C2.3,11391
2012-01-15 02:48:00,2012-01-15 02:52:00,2012-01-15 02:59:00,C2.1,11401
