event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2021-01-01 01:46:00,2021-01-01 01:54:00,2021-01-01 01:58:00,B3.1,12795
2021-01-01 04:35:00,2021-01-01 04:42:00,2021-01-01 04:46:00,B2.1,12795
2021-01-01 14:59:00,2021-01-01 15:04:00,2021-01-01 15:08:00,B1.9,12795
2021-01-10 18:30:00,2021-01-10 18:31:00,2021-01-10 18:32:00,A1.0,0
2021-01-13 12:41:00,2021-01-13 13:02:00,2021-01-13 13:10:00,A4.3,0
2021-01-17 13:18:00,2021-01-17 13:28:00,2021-01-17 13:35:00,B2.8,12796
2021-01-17 23:54:00,2021-01-18 00:01:00,2021-01-18 00:06:00,B1.2,12797
2021-01-19 08:39:00,2021-01-19 08:44:00,2021-01-19 08:48:00,B1.5,12798
2021-01-19 10:09:00,2021-01-19 10:15:00,2021-01-19 10:21:00,B1.1,12798
2021-01-19 10:52:00,2021-01-19 10:55:00,2021-01-19 11:00:00,B1.1,12798
2021-01-19 11:09:00,2021-01-19 11:14:00,2021-01-19 11:24:00,B1.1,12798
2021-01-19 17:46:00,2021-01-19 17:54:00,2021-01-19 17:59:00,C1.0,12798
2021-01-19 19:13:00,2021-01-19 19:19:00,2021-01-19 19:24:00,B1.3,12798
2021-01-19 19:26:00,2021-01-19 19:33:00,2021-01-19 19:41:00,B2.6,12798
2021-01-19 20:25:00,2021-01-19 20:41:00,2021-01-19 20:45:00,B4.1,12798
2021-01-19 22:43:00,2021-01-19 22:52:00,2021-01-19 22:58:00,B1.7,12798
2021-01-20 01:03:00,2021-01-20 01:13:00,2021-01-20 01:18:00,B7.0,12798
2021-01-20 06:08:00,2021-01-20 06:13:00,2021-01-20 06:21:00,B1.8,12798
2021-01-20 06:37:00,2021-01-20 06:56:00,2021-01-20 06:59:00,B1.7,12798
2021-01-20 09:49:00,2021-01-20 09:52:00,2021-01-20 09:58:00,B1.6,12798
2021-01-20 10:01:00,2021-01-20 10:11:00,2021-01-20 10:23:00,B7.0,12798
2021-01-20 12:35:00,2021-01-20 12:53:00,2021-01-20 12:59:00,C1.4,12798
2021-01-20 17:29:00,2021-01-20 17:33:00,2021-01-20 17:39:00,B3.1,12798
2021-01-20 18:25:00,2021-01-20 18:29:00,2021-01-20 18:34:00,B2.0,12798
2021-01-20 19:27:00,2021-01-20 19:36:00,2021-01-20 19:44:00,B1.1,12798
2021-01-20 23:54:00,2021-01-21 00:06:00,2021-01-21 00:16:00,B2.6,12798
2021-01-21 02:02:00,2021-01-21 02:28:00,2021-01-21 02:46:00,B3.9,12798
2021-01-21 03:27:00,2021-01-21 03:37:00,2021-01-21 03:54:00,B1.4,12798
2021-01-21 04:34:00,2021-01-21 04:40:00,2021-01-21 04:54:00,B1.5,12798
2021-01-21 05:21:00,2021-01-21 05:28:00,2021-01-21 05:35:00,B2.0,12798
2021-01-21 09:17:00,2021-01-21 09:24:00,2021-01-21 09:29:00,B1.1,12798
2021-01-21 09:47:00,2021-01-21 09:59:00,2021-01-21 10:05:00,B5.4,12798
2021-01-21 10:27:00,2021-01-21 10:30:00,2021-01-21 10:36:00,B3.3,12798
2021-01-21 12:34:00,2021-01-21 12:47:00,2021-01-21 12:50:00,B1.3,12798
2021-01-21 12:50:00,2021-01-21 12:53:00,2021-01-21 12:58:00,B3.1,12798
2021-01-21 14:59:00,2021-01-21 15:05:00,2021-01-21 15:12:00,B1.2,12798
2021-01-21 21:59:00,2021-01-21 22:12:00,2021-01-21 22:22:00,B2.3,12798
2021-01-21 22:42:00,2021-01-21 22:51:00,2021-01-21 23:09:00,B1.3,12798
2021-01-22 09:37:00,2021-01-22 09:42:00,2021-01-22 09:53:00,B1.5,12798
2021-01-23 00:05:00,2021-01-23 00:42:00,2021-01-23 01:30:00,B1.3,12798
2021-01-23 23:34:00,2021-01-23 23:53:00,2021-01-24 00:18:00,B3.0,12798
2021-01-25 02:25:00,2021-01-25 02:40:00,2021-01-25 02:57:00,B1.5,12799
2021-01-25 06:31:00,2021-01-25 06:41:00,2021-01-25 06:48:00,B5.0,12799
2021-01-25 08:08:00,2021-01-25 08:19:00,2021-01-25 08:26:00,B2.2,12799
2021-01-25 11:20:00,2021-01-25 11:28:00,2021-01-25 11:32:00,B1.6,12799
2021-01-26 23:00:00,2021-01-26 23:08:00,2021-01-26 23:16:00,B1.3,12799
2021-01-28 22:58:00,2021-01-28 23:08:00,2021-01-28 23:16:00,B3.4,12800
2021-01-29 09:41:00,2021-01-29 09:55:00,2021-01-29 10:08:00,B2.5,12800
2021-01-29 20:05:00,2021-01-29 20:16:00,2021-01-29 20:27:00,B3.8,12800
2021-02-02 13:46:00,2021-02-02 13:53:00,2021-02-02 14:00:00,B1.0,12801
2021-02-10 11:42:00,2021-02-10 12:06:00,2021-02-10 12:17:00,B5.7,0
2021-02-18 11:45:00,2021-02-18 11:53:00,2021-02-18 11:58:00,B1.2,12803
2021-02-18 13:25:00,2021-02-18 13:29:00,2021-02-18 13:37:00,B1.0,12803
2021-02-18 19:56:00,2021-02-18 20:47:00,2021-02-18 21:09:00,B1.3,12803
2021-02-19 08:53:00,2021-02-19 09:01:00,2021-02-19 09:08:00,B1.8,12803
2021-02-19 14:40:00,2021-02-19 14:47:00,2021-02-19 14:51:00,B1.1,12803
2021-02-20 11:47:00,2021-02-20 11:53:00,2021-02-20 11:58:00,B1.1,12803
2021-02-22 17:02:00,2021-02-22 17:07:00,2021-02-22 17:13:00,B4.5,12804
2021-02-22 21:19:00,2021-02-22 21:29:00,2021-02-22 21:36:00,B5.4,12804
2021-02-22 22:34:00,2021-02-22 22:39:00,2021-02-22 22:50:00,B1.5,12804
2021-02-23 00:11:00,2021-02-23 00:16:00,2021-02-23 00:23:00,B3.3,12804
2021-02-23 05:18:00,2021-02-23 05:34:00,2021-02-23 05:50:00,B1.8,12805
2021-02-23 07:01:00,2021-02-23 07:06:00,2021-02-23 07:14:00,B1.7,12804
2021-02-23 09:20:00,2021-02-23 09:24:00,2021-02-23 09:36:00,B1.0,12804
2021-02-23 10:16:00,2021-02-23 10:24:00,2021-02-23 10:30:00,B1.2,12804
2021-02-23 14:18:00,2021-02-23 14:27:00,2021-02-23 14:32:00,B1.9,12805
2021-02-23 14:48:00,2021-02-23 14:52:00,2021-02-23 14:58:00,B1.8,12804
2021-02-23 19:50:00,2021-02-23 19:59:00,2021-02-23 20:03:00,B1.8,12804
2021-02-24 11:03:00,2021-02-24 11:23:00,2021-02-24 11:32:00,B2.6,12804
2021-02-24 14:41:00,2021-02-24 14:47:00,2021-02-24 15:00:00,B1.6,12804
2021-02-24 17:37:00,2021-02-24 17:44:00,2021-02-24 17:49:00,B1.7,12804
2021-02-24 17:54:00,2021-02-24 18:01:00,2021-02-24 18:08:00,B2.3,12804
2021-02-24 19:31:00,2021-02-24 19:39:00,2021-02-24 19:47:00,B1.9,12804
2021-02-24 20:59:00,2021-02-24 21:06:00,2021-02-24 21:10:00,B1.1,12804
2021-02-25 00:00:00,2021-02-25 00:07:00,2021-02-25 00:15:00,B2.4,12804
2021-02-25 00:42:00,2021-02-25 00:52:00,2021-02-25 00:56:00,B3.4,12804
2021-02-25 03:08:00,2021-02-25 03:22:00,2021-02-25 03:35:00,B2.7,12804
2021-02-25 04:31:00,2021-02-25 04:43:00,2021-02-25 04:54:00,B1.8,12804
2021-02-25 05:26:00,2021-02-25 05:32:00,2021-02-25 05:36:00,B2.3,12804
2021-02-25 05:44:00,2021-02-25 05:52:00,2021-02-25 05:57:00,B1.3,0
2021-02-25 06:28:00,2021-02-25 06:37:00,2021-02-25 06:43:00,B4.6,12804
2021-02-25 09:31:00,2021-02-25 09:39:00,2021-02-25 09:46:00,B1.3,12804
2021-02-25 09:46:00,2021-02-25 09:51:00,2021-02-25 09:58:00,B1.6,12804
2021-02-25 13:43:00,2021-02-25 13:47:00,2021-02-25 13:53:00,B1.1,12804
2021-02-25 14:01:00,2021-02-25 14:06:00,2021-02-25 14:08:00,B1.0,12804
2021-02-25 14:08:00,2021-02-25 14:16:00,2021-02-25 14:21:00,B3.7,12804
2021-02-25 15:47:00,2021-02-25 15:55:00,2021-02-25 15:59:00,B1.0,12804
2021-02-26 01:25:00,2021-02-26 01:35:00,2021-02-26 01:37:00,B1.1,12804
2021-02-26 01:37:00,2021-02-26 01:41:00,2021-02-26 01:47:00,B1.2,12804
2021-02-26 04:41:00,2021-02-26 04:47:00,2021-02-26 06:17:00,B1.2,12804
2021-02-26 06:17:00,2021-02-26 06:20:00,2021-02-26 06:31:00,B1.4,12804
2021-02-26 07:02:00,2021-02-26 07:25:00,2021-02-26 07:48:00,B9.5,12805
2021-02-26 19:33:00,2021-02-26 19:38:00,2021-02-26 19:42:00,B1.8,12804
2021-02-27 00:38:00,2021-02-27 00:46:00,2021-02-27 00:49:00,B1.0,0
2021-02-27 00:49:00,2021-02-27 00:54:00,2021-02-27 00:58:00,B2.6,0
2021-02-27 09:36:00,2021-02-27 09:49:00,2021-02-27 09:55:00,B2.9,0
2021-02-27 10:51:00,2021-02-27 10:56:00,2021-02-27 11:00:00,B1.3,0
2021-02-27 12:44:00,2021-02-27 12:51:00,2021-02-27 12:56:00,B1.4,0
2021-02-27 15:13:00,2021-02-27 15:22:00,2021-02-27 15:28:00,B1.9,0
2021-02-27 17:22:00,2021-02-27 17:31:00,2021-02-27 17:35:00,B1.5,0
